occid,obsseqnr,bjobcoder,bwhsID,bjobnm,bjobdes,bjobco,bjobcode,bjobcertain
2278102,3712,AM,1,,verpleegopleiding,,0-71.10,Zeker / duidelijk
2854541,4754,AM,1,(activiteiten ) begeleider intensieve begeleiding,begeleiden van clienten,instelling voor mensen met een verstandelijke beperking,1-93.10,Zeker / duidelijk
2464583,4058,AM,3,(directie)secretaresse,secretaresse/organisatorisch,diverse bedrijven,3-21.20,Zeker / duidelijk
2760207,4563,AM,1,(FLO als militair) in combinatie met Onderwijs Assistent,Nu als Onderwijs Assistent,VMBO-School,1-31,onzeker onduidelijke beschrijving
2138575,3459,AM,1,(Interim) Marktonderzoeker,,Zelfstandige,0-90.30,Zeker / duidelijk
2452551,4033,AM,3,(leerling ) verpleegkundige,verplegen,ziekenhuis,0-71.10,Zeker / duidelijk
2176872,3528,AM,5,(leerling) Automonteur,Autos repareren,Garage,8-43.20,Zeker / duidelijk
2318862,3775,AM,3,(leerling) verpleegkundige,patientenzorg,ziekenhuis,0-71.10,Zeker / duidelijk
1535582,2637,AM,3,(leerling) Z-verpleegkundige,verzorgen/begeleiden mensen met een verstandelijke beperking,Geestelijk gehandicapten zorg,0-71.10,Zeker / duidelijk
2553617,4185,AM,7,(leerling)ziekenverzorgende,"verzorgen bewoners, verpleegtechnische handelingen, medicijnen uitzetten en toedienen, rapportages schrijven",verpleeghuis,0-72.10,Zeker / duidelijk
1712622,2917,AM,1,(porject) coordinator,coordinator autismewerk.nl en (project) coordinator De Werkschool,zorginstelling / GGZ,2-11.10,Zeker / duidelijk
2455872,4040,AM,2,(Senior) Technisch Consultant,maken software applicaties,ICT,0-84.20,Zeker / duidelijk
2053111,3319,AM,2,(Vrijwillig) Brandweerman,"alle taken, waarvan de laatste 12 jaar als Commandant",Gemeentelijke brandweerorganisatie,X,Zeker / duidelijk
2132532,3445,AM,3,??,het zagen en gieten van kunststof,Qwadrant te Almelo,9-01.70,onzeker duidelijke beschrijving
2816318,4670,AM,1,0ndernemer Horeca,eigenaar/ alle werkzaamheden van inkoop t/m verkoop/ personeelszaken ed.,cafetaria/lunchroom,5-00.90,Zeker / duidelijk
2731283,4511,AM,1,1 ste medewerkster horeca,"inkoop, leiding gevende taken",speelpark,5-32.10,Zeker / duidelijk
2280571,3718,AM,3,1e machinist,operations + onderhoud op een vloeibaar aardgas installatie,Gastransport,9-69.25,onzeker duidelijke beschrijving
2178200,3531,AM,2,1e medewerker,Aansturen en coordineren onderhoudsmedewerkers,Gemeente Enschede,3-00.10,Zeker / duidelijk
2786021,4620,AM,6,1e medewerker bedrijfsvoering,Leidinggeven en fin.administratie,Bank,3-39.40,Zeker / duidelijk
2547248,4179,AM,3,1e medewerker financiële administratie,van alles en nog wat,ziekenhuis,3-39.40,Zeker / duidelijk
1802243,3078,AM,3,1e medewerker leerlingenadministratie,leerlingenadminstratie,VO school,3-93.10,Zeker / duidelijk
2335337,3817,AM,2,1e medewerker Meldpunt,"aansturen storingsmonteurs, contracten, externe opdrachten, IT & Management Informatie Dienst",RIVM,0-84.20,Zeker / duidelijk
1857485,3186,AM,4,1e monteur,allerhande onderhouds werkzaamheden o.a. inductie ovens,Aluminium smelter,9-69.80,Zeker / duidelijk
2143138,3463,AM,1,1ste verantwoordelijke,leiding geven,zorginstelling,2-11.10,Zeker / duidelijk
1788255,3072,AM,2,A verpleegkundige,verzorging/verpleegkundige handelingen bij patienten,ziekenhuis,0-71.10,Zeker / duidelijk
2528772,4148,AM,2,a verpleegkundige,verpleegkundige taken,Ziekenhuis,0-71.10,Zeker / duidelijk
2564483,4207,AM,1,A- verpleegkundige,"verplegen patienten, begeleiden bevallingen",algemeen ziekenhuis,0-71.10,Zeker / duidelijk
2816341,4671,AM,1,aannemer,alles wat er bij hoort,bouw,9-59.10,Zeker / duidelijk
3033363,4919,AM,1,aannemer/ timmerman,bouwwerkzaamheden,aannemer,9-59.10,Zeker / duidelijk
1682247,2873,AM,2,acceptant brand verzekeringen,accepteren van industriele brandverzekeringen,Verzekeringswezen,3-93.50,Zeker / duidelijk
2412546,3957,AM,1,acceptant verzekeringen,acceptatie,Verzekeringsmaatschappij,3-93.50,Zeker / duidelijk
3012337,4876,AM,1,Account executive,planning,logistics,3-92.30,Zeker / duidelijk
1487747,2554,AM,1,Account Manager,sales,software,2-19.50,Zeker / duidelijk
1503118,2564,AM,2,Account Manager,Verkoop en advies informatica opleidingen,Softwarehouse,2-19.50,Zeker / duidelijk
1616402,2769,AM,2,Account Manager,"Relatiebeheer, behouden en uitbouwen business",ICT,2-19.50,Zeker / duidelijk
1652800,2819,AM,1,Account manager,Verkopen van loyaltyprogramma's,Zakelijke dienstverlener,2-19.50,Zeker / duidelijk
