unique_id,isco88_cg_4,occupation_en,task_en,employer_en,product_en
AS10011_1,4111,officer staff,delivery, Yong Xin Xiang Tea Store,tea wholesale
AS10011_2,3439,clerk,Employee management, Hengyi Cleaning company,cleaning
AS10011_3,3439,clerk,employee management, Xinli Cleaning company,cleaning
AS10012_1,7233,apprentice,machine maintenance, Chaozhuo machine maintenance,machine maintenance
AS10012_2,7233,technician,machine maintenance,Fuji Machine,machine maintenance
AS10012_3,7233,machine maintenance,machine maintenance,Congjia industry and commerce,semiconductor
AS10012_4,9333,deliveryman,delivery man,Yada Electronic company,sale electronic components
AS10012_5,3415,salesman,salesman,Yada Electronic company,sale electronic components
AS10012_6,3415,salesman,salesman,Guotai Electronics,sale electronic components
AS10015_1,7132,mud water,pave marble,Nature marble company,provide marble
AS10015_2,8262,worker,sweater manufacture,Yinmei silk mill,Garment Manufacturer
AS10015_3,3439,clerk,management,Luo's Group,Computerized machine
AS10016_1,4222,Reception,progress of manufacturing jewels,Aberdeen Jewelry Factory,sale jewels
AS10016_2,5220,Sales,sale,Xieruilinzhu Treasury company,sale jewels
AS10016_3,4212,teller,Counter service,Hensheng Bank,retail bank
AS10016_4,4122,Mortgage Sales Manager,handling mortgage loans,DBS Bank,mortgage loans
AS10017_1,5141,apprentice,wash head,Xihuan hairdressing,hairdressing
AS10017_2,8322,taxi driver,taxi driver,Hong Kong,taxi
AS10019_1,9133,dry clean clothes,dry cleaning,Huang Zhu Ken laundry factory,sorting clothes
AS10019_2,4131, Warehouse Staff,warehouse staff,Huang Zhu Keng electronic component company,radio component
AS10019_3,4111,officer staff,handling documents,Huang Zhu Keng electronic company,computer and medical equipment components
AS10020_1,9333,porter,porter,Anxing removal contractors,removal contractors
AS10020_2,9333,porter,porter,Xinji removal contractors,removal contractor
AS10020_3,9333,porter,porter,Senji removal contractors,removal contractor
AS10021_1,8286,making match box,making match boxes,match factory,making match
AS10021_2,7311,female worker of camera,making camera boxes,Shijia electronic factory,manufacture radios
AS10021_3,5141,pedicure,pedicure,Nanjin hairdressing,hairdressing
AS10022_1,9322,packing worker,packing frozen meat,Ng Fung Hong Limited,Food supplier
AS10022_2,4131,Warehouse Staff,Goods management,Ng Fung Hong Limited,food supplier
AS10022_3,4131,night Warehouse Staff,goods in and out at night,Ng Fung Hong Limited,Food supplier
AS10024_1,2320,Teacher,Teaching,Lvgangkaipingshanghui middle school,Middle school
AS10024_2,2320,Teacher,teaching and administrative work,Malino Godfather school,Middle school
AS10024_3,2310,Professor,teaching and administrative and research,Hong Kong Chinese University,University
AS10024_4,2310,Professor,teaching and administrative and research,Hong Kong University of Science and Technology,University
AS10025_1,3416,purchasing agent,purchasing,Hong Kong Industrial corporation,Toy production
AS10025_2,8322,taxi driver,driver,Hong Kong area,taxi
AS10025_3,3340,driver teacher,driver training,Hong Kong area,driver training
AS10025_4,8322,driver,driver,Scott paper,paper making
AS10025_5,8322,driver,driver,Pengli Insurance company,insurance company
AS10025_6,1210,shopkeeper,boss,Easy Beauty Digital Workshop,computerized printing service
AS10026_1,3141,apprentice,lathe and polish,Taigu shipyard,Ship maintenance
AS10026_2,8340,Sailor,shipping service,Fulai Ship Company,shipping service
AS10026_3,3439,Product department management,manufacturing supervise,Zhonghua Gas Company,gas supplier
AS10026_4,3141,sailor,maintenance,Yuanyang Ship Company,shipping service
AS10026_5,3141,maintenance manager,supervise ship maintenance,Beichen Ship Company,shipping service
AS10026_6,3141,maintenance manager,supervise ship maintenance,Weilin Ship Company, |shipping service
AS10027_1,4111,administrative officer,civil service,Yongshun shipping service company,cargo shipping
AS10027_2,4111,civil service,clerk,lsaworkshop,cosmetic company
AS10027_3,4111,administrative officer,clerk,Huazhilianhang property company,real estate sale
AS10027_4,4111,administrative,clerk,Zhuoyue,cosmetic company
AS10029_1,5220,Boss sun,Sale and deliver,Dajiaozuishiduo,candy retail
AS10029_2,8322,driver,driver,Private driver,private real estate
AS10030_1,2320,Teacher,teaching,Saint Boluo Boy & Girl's Middle School,middle school
AS10031_1,9322,Temporary worker,temporary worker,ox horn factory,clothing factory
AS10031_2,8269,sewing machine apprentice,Sewing machine,Deshihuo Clothing factory,clothing factory
AS10031_3,8320,deliver,driver plus porter,Youmadi Street,spice wholesale
AS10031_4,8324,driver,driver,Jianan Concrete Company,stone material supplier
AS10032_1,7242,technician,equipment maintenance,Hong Kong Telephone Company,communication and telephone
AS10032_2,1210,Boss,management,Mainland Sichuan Nightclub,entertainment
AS10032_3,5169,security guard,security guard,Kangye Management,Building management
AS10034_1,3416,Mechandiser,purchasing,Debao Import and export company,packing design
AS10034_2,3416,Mechandiser,,International Greeting,printing design
AS10034_3,3416,Mechandiser,purchasing,kappahl,
AS10035_1,7433,tailor,learning clothing manufacture,suits,sewing apprentice
AS10035_2,7241,maintenance worker,maintenance and installation of appliance,Hongguang Electrical equipment (appliance),maintenance appliance and installation appliance
AS10035_3,8323,driver,driver, Jiuba,transportation
AS10036_1,2144,technology director,Building design,Hong Kong Telephone Company,Telecommunication
AS10036_2,1222,director-general,management,Xiangyu knitting company,knitting
AS10036_3,7311,maintenance department manager,management,Fuji Photo Ltd.,photograph and film
AS10036_4,5169,director of property management,Building management,Yuju property management,property management
AS10037_1,5122,kitchen,kitchen,chaozhou restaurant,restaurant
AS10037_2,110,firefighter,check fire extinguisher facility,British Army Department,information collection station
AS10037_3,9153,building manager,repair and management,Zhonglianghang,property management
AS10039_1,3141,maintenance worker,maintenance components of ships,HONG KONG UNITED DOCKYARD,maintenance ship
AS10040_1,8262,worker making sweater,make sweaters,Shangshui Sweater Company,making sweaters
AS10040_2,8262,worker making sweaters,making sweaters,Yuanlang Sweater Company,making sweaters
AS10041_1,1224,Management,management and administration,Guotai Airline,airline
AS10041_2,1224, Country manager,management and administration,United airline,airline
AS10042_1,3439,director of office,document handling,Tax Office,tax handling for government
AS10044_1,9131,housekeeping,housekeeping,assistant of housekeeping in Shenzhen,assistant of housekeeping
AS10045_1,3241,clinic assistant,physical treatment, (Sham Shui Po) Chinese traditional medicine clinic,cure with Chinese traditional medicine
AS10045_2,4111,officer staff,civil service,Changshawan clothing plant,manufacture clothes
AS10045_3,3416,Merchandiser,purchasing,Satco Trading Co,commercial of clothing
AS10045_4,3416,Merchandiser,purchasing,Hermes-Otto Trading Co,clothes commercial business
AS10046_1,5122,chef,cook,Xinya Restaurant,cook
AS10046_2,5122,chef,cook,New-world restaurant,cook
AS10046_3,5122,chef,cook,Hong Kong Conference,exhibition and cook
AS10046_4,5122,chef,cook,Jihao Restaurant,cook
AS10047_1,2444,translator,translator,China People's bank,bus company
AS10047_2,4111,bus service department,bus,Yihe Airline,airlines
AS10047_3,3415,South Africa food commercial business,South Africa customer service,Hudong commercial company,commcial business on food
AS10047_4,1229,manager,customer manager,tourism,Tourism service
AS10047_5,3415,customer service department,customer service,Buzhibu Commercial company,Bu spinning
AS10047_6,2444,translator,translator,Zhouli Movie Ltd.,film Ltd.
AS10047_7,3415,customer service,customer service,Buzhibu Commercial company,Bu Spinning commercial company
AS10047_8,3412,insurance staff,insurance staff,Guowei Insurance company,insurance company
AS10049_1,4111,land office,civil service,Hong Kong Government,governmental documents
AS10050_1,5163,prison guard,keeping,Hong Kong Jail,keeper
AS10050_2,7136,apprentice,learning construction and tap worker,construction,"build building, tap worker"
AS10050_3,7136,master,",tap, construction",self-business construction,",tap, construction"
AS10050_4,5169,manager,"management, safeguard",Property management,property management
AS10051_1,1232,manager,human resource management,transport,manager
AS10051_2,2421,court prosecutor,prosecutor,ICAC,corruption prosecutor
AS10051_3,2421,court prosecutor,claiming handling,claiming officer,claiming handling
AS10052_1,8211,lathe apprentice,learning operating lathe,Guangzhou Auto transport company,auto repair
AS10052_10,3433,accountant,calculate income of the company,Chaiwan supermarket,retail
AS10052_2,3434,statistician,count the number of production,Chemical bureau in Guanzhou,manage chemical plant affairs
AS10052_3,3433,accountant,account for property of the village,pengbian village group,farming
AS10052_4,8211,lathe worker,process components,Guangzhou Decheng street factory,process materials
AS10052_5,3433,accountant,calculate cost,Guangzhou Jifang Road factory,produce production on glue
AS10052_6,3433,accountant,calculate income,Guangzhou decheng street wireless electricity factory,produce appliance
AS10052_7,3433,accountant,calculate income,Guangzhou dry food company,dry food salesman
AS10052_8,3433,accountant,calculate income of the company,Guangzhou Taikang Rd. Board company,sale wood and decorate materials
AS10052_9,3433,accountant,calculate income of the company,Chaiwanhengfa Printing company,printing
AS10054_1,5220,salesman,salesman,Wuyin Liangpin,salesman
AS10054_2,3415,SALES EXECUTIVE,salesman,Sweden bank,salesman
AS10055_1,2221,village doctor,injection and wash wound,Village hospital,clinic
AS10055_2,8283,appliance worker,technician,electric appliance factory,make appliance
AS10055_3,5169,safeguard,safeguard,security company,safeguard
AS10056_1,8340,shipping,shipping,dashun dock company,shipping service
AS10056_2,8340,shipping,manage porters on board,Gangpu shipping service,shipping service
AS10056_3,3141,machine boat,polish ship component,Taigu Shipyard company,"shipping service, ship maintenance"
AS10056_4,4142,letter deliver,messenger,Taihe express,)express
AS10057_1,6153,",boss, fishing boat assembly","fishing boat, repair boat and fishing",self-employed,"fishing boat repair, fishing"
AS10057_2,1224,management,management,Zhiwei restaurant,food and drinking
AS10059_1,5132,lifeguard,lifeguard,governmental fire bureau,fire extinguishing service
AS10060_1,3415,truck and deliver,marketing toward other companies,Weilun bag company,making hand bag
AS10060_2,3415,salesman,marketing clothing produce production to other companies and deliver,Chenguang Clothing factory,making clothing
AS10060_3,8322,driver,provide transport service,taxi company,provide taxi service
AS10060_4,3412,salesman,sale insurance,Youbang insurance company,provice insurance service
AS10060_5,3412,salesman,provice insurance service,telecommunication Yingke insurance company,provice insurance service
AS10060_6,3412,salesman,distributing insurance service,New York Insurance,provice insurance service
AS10060_7,8322,driver,provide transport service,taxi company,provide transport service
AS10061_1,7233,worker,fetching and carrying,Hongkan Dock Company,ship maintenance
AS10061_2,9322,worker,fetching and carrying,Jiashun machine factory,machine maintenance
AS10061_3,7233,worker,fetching and carrying and machine maintenance,Deji Project company,machine maintenance
AS10062_1,6110,farm,farm,Guangzhou Farm,farm
AS10062_2,9133,cleaner,washing dishes,Beijiao qu restaurant,restaurant
AS10062_3,9132,cleaner,cleaning,Chaiwanqu Newspaper,newspaper
AS10062_4,9132,cleaner,cleaning,household,household building
AS10064_1,1227,manager,company loan,Hong Kong BANK,bank
AS10064_2,1227,manager,company loan,Hong Kong BANK (SHANGHAI),1bank1
AS10064_3,1227,manager,company loan,Hong Kong Bank( Shenzhen),bank
AS10065_1,4111,officer staff,office staff,Excelsior Shipping Company,transport company
AS10065_2,4111,officer staff,office staff,Merrison Garment Company,clothing company
AS10065_3,4111,officer staff,office staff,Dotex Co. Ltd,clothing company
AS10065_4,4111,officer staff,office staff,W NM Co. Ltd,clothing company
AS10066_1,8122,steel worker,melt iron,Steel manufacture,iron making
AS10067_1,4111,officer staff,document handling,MATTEL TRADING LIMITED,shipping affairs
AS10067_2,4111,officer staff,documents handling,Qijiang commercial company,shipping affairs
AS10067_3,4111,officer staff,documents handling,Liyumen commercial company,shipping affairs
AS10067_4,4111,officer staff,documents handling,Weiye cloth rack factory,shipping affairs and making clothes rack
AS10069_1,7311,telescope manufacture,scope,Wangjing Company,electric company
AS10069_2,4111,officer staff,officer staff,air conditioner company,produce air conditioner
AS10069_3,4111,officer staff,officer staff,project company,project company
AS10069_4,4111,officer staff,agent office staff,transport service,transport
AS10069_5,4111,officer staff,agent for boat office staff,Indian agent ship,agent
AS10069_6,4111,officer staff,officer staff,skate shoes,skate shoes company
AS10069_7,4111,officer staff,officer staff,wax plant,wax maker
AS10069_8,4111,officer staff,officer staff,electric appliance company,electric company
AS10070_1,3152,quality control,quality control,Electric component company,electric component conductor
AS10070_2,4111,office manager,office document handling,Dakuaihuao fast food,fast food
AS10070_3,4111,officer staff,office document handling,construction company,build building
AS10070_4,4111,officer staff,office document handling,Real estate company,real estate
AS10071_1,9153,manager,timing,Fuchang Rough textile company,rough spin
AS10072_1,8283,assembler,assembly component,Kuiyong electronics company,producing radio
AS10072_2,9322,warehouse keeper,packing,Kuiyong electronics company,producing radio
AS10072_3,5161,lifeguard,give first-aid,fire department,give first-aid
AS10072_4,5220,business manager,sale,Yijiao Ltd.,cleaning products wholesale
AS10072_5,3439,property management,manage building and employees,Quantai Commercial building,merchandise building
AS10074_1,9152,property management,office building management,Real estate company,rent building
AS10075_1,6111,farming,farming,farmer,farmer farming for rice
AS10075_2,9132,cleaning worker,provide cleaning,Cleaning company,building cleaning company
AS10075_3,5123,backman,worker,restaurant,restaurant
AS10076_1,7411,meat cutter,cut frozen meat,Asian Banguan,supermarket
AS10076_2,1210,boss,sale and make watch,Shanghan electric watch factory,make watch
AS10076_3,7233,technician,make machine component,Shenzhen Nantou watch and jewelry,make jewelry
AS10076_4,1210,director of factory,management,Dongguan Railway station watch,make watch
AS10076_5,1210,boss,management,Dongguan changan watch,make watch
AS10076_6,5169,safeguard,manage building,Donghua Sanyuan Property Building,property building
AS10076_7,1222,manager,production management,Hejun Toy Company,make toys
AS10076_8,5169,safeguard,manage building,Hongli Security service company,provide safeguard service
AS10077_1,4111,import and export officer,office staff,Gilman Co. Ltd,merchandise
AS10077_2,4111,officer staff,office staff,ICI China Ltd,chemical raw material company
AS10077_3,3439,Inventory Control Supervisor,management,Jebsen Co. ltd,commercial
AS10077_4,1224,Operations Manager,management,Johnson & Johnson,Health care products
AS10077_5,1235,Regional Distribution Manager,management,Monsanto Co Ltd,chemicals company
AS10077_6,1210,Director,management,DFS Hong Kong Ltd,Duty free products
AS10079_1,4111,officer staff,handling documents,Quchenshi Group,commercial company
AS10079_2,4111,officer staff,handle documents,Commercial company,commercial business
AS10079_3,4111,officer staff,handle inner documents,zhonghuan commercial company,trade company
AS10079_4,4111,officer staff,handle inner documents,Jishazui commercial company,trade
AS10079_5,4115,secretary,handle inner documents,education bureau,manage Hong Kong education
AS10080_1,8322,taxi driver,taxi driver,self-employed,transport
AS10080_2,8324,truck driver,"truck driver, porter",self-employed,transport
AS10080_3,8323,taxi driver,taxi driver,min bus,transport
AS10081_1,2331,teacher,teaching,primary school,primary school
AS10081_2,5161,firefighter,firefighter,fire bureau,wanzai fire bureau
AS10081_3,5161,firefighter,office staff,fire department, fire bureau
AS10082_1,7231,mini bus maintenance,repair,Safe transport,repair minibus
AS10082_2,7137,electric technician,electrician,Yingguang Electrics,electrician
AS10082_3,8324,truck driver,driver,self-employed,transport
AS10084_1,5220,salesman,salesman,electronic company,household appliance
AS10084_2,1210,factory director,company director,Glue company,produce glues
AS10084_3,1210,boss,boss management,Glue company,produce glues
AS10084_4,1210,boss,"boss, management",building house,construction company
AS10085_1,2221,doctor,doctor,clinc,clinic
AS10085_2,5123,building,building service,Restaurant,food and dining
AS10085_3,4111,writter,office staff,property management,property management company
AS10086_1,7124,carpenter for redecoration,carpenter,self-employed,indoor decoration
AS10087_1,4111,officer staff,office staff,Datong machine sale company,machine repair
AS10087_2,7233,machine technician,repair machine,Meya aluminum,make aluminum
AS10087_3,1222,hardware technician,management,Santai hardware,"hardware, components"
AS10087_4,3141,shipyard work,fix boat,Friendship shipyard,fix boat
AS10089_1,9133,dining hall staff,kitchen,Zhongshan Wireless factory,electric component processing
AS10089_2,1210,noodle restaurant,management,self-employed,food and drinking
AS10090_1,5220,salesman,sale goods,photograph store,dry film service
AS10090_2,9151,document deliver,deliver documents,Hongdahong construction company,sale construction materials
AS10091_1,5220,light web,light web,hardware shop,hardware
AS10091_2,8261,rough textile,rough spinning,Knitting factory,spinning factory
AS10092_1,7311,water maker technician,technician,Electric watch plant,produce watch
AS10092_2,4121,officer staff,sale goods and accounting,Jingyi retail,retail
AS10092_3,4111,officer staff,officer staff,MAYERMayer lawyer,saw consultant
AS10094_1,6110,farm,farm land,Luotian,farm
AS10095_1,7313,apprentice of making gold jewelry,apprentice,don't know,gold jewelry factory
AS10095_2,5123,building,"deliver dishes, write down orders",Feicui Palace,Restaurant
AS10095_3,5123,building,"write down orders, deliver dishes, management",Fulihua restaurant,food department
AS10095_4,5123,building,"deliver dishes, write down orders",tea house,food
AS10095_5,4142,sorting letters,sorting letters,post office,post office
AS10096_1,3152,quality control,quality control,Fengjian electricity appliance factory,recorder
AS10096_2,7241,repair household appliance,repair appliance,self-employed,repair appliance
AS10096_3,7135,aluminum window,install aluminum windows,Jiancheng Project,install aluminum windows
AS10096_4,5123,building,",deliver dishes, worker",Pawang jade,restaurant
AS10097_1,2411,Auditor,accountant,Norman B Cheung co,Accountant
AS10097_2,2411,director of accountant,accountant,Huailao community service,community service
AS10097_3,2411,director of accountant,accountant,Paul Y construction co,building
