occid,obsseqnr,bjobcoder,bwhsID,bjobnm,bjobdes,bjobco,bjobcode,bjobcertain
2278102,3712,am,1,nan,verpleegopleid,nan,0-71.10,zeker duidelijk
2854541,4754,am,1,activiteit begeleider intensiev begeleid,begeleid client,instell mens verstand beperk,1-93.10,zeker duidelijk
2464583,4058,am,3,directiesecretares,secretaresseorganisatorisch,diver bedrijv,3-21.20,zeker duidelijk
2760207,4563,am,1,flo militair combinatie onderwijs assistent,onderwijs assistent,vmboschol,1-31,onzeker onduid beschrijv
2138575,3459,am,1,interim marktonderzoeker,nan,zelfstand,0-90.30,zeker duidelijk
2452551,4033,am,3,leerling verpleegkund,verpleg,ziekenhuis,0-71.10,zeker duidelijk
2176872,3528,am,5,leerling automonteur,autos reparer,garag,8-43.20,zeker duidelijk
2318862,3775,am,3,leerling verpleegkund,patientenzorg,ziekenhuis,0-71.10,zeker duidelijk
1535582,2637,am,3,leerling zverpleegkund,verzorgenbegeleid mens verstand beperk,geestelijk gehandicapt zorg,0-71.10,zeker duidelijk
2553617,4185,am,7,leerlingziekenverzorg,verzorg bewoner verpleegtechnisch handel medicijn uitzet toedien rapportages schrijv,verpleeghuis,0-72.10,zeker duidelijk
1712622,2917,am,1,porject coordinator,coordinator autismewerknl project coordinator werkschol,zorginstell ggz,2-11.10,zeker duidelijk
2455872,4040,am,2,senior technisch consultant,mak softwar applicaties,ict,0-84.20,zeker duidelijk
2053111,3319,am,2,vrijwill brandweerman,all tak waarvan laatst 12 jar commandant,gemeent brandweerorganisatie,X,zeker duidelijk
2132532,3445,am,3,,zag giet kunststof,qwadrant almelo,9-01.70,onzeker duidelijk beschrijv
2816318,4670,am,1,0ndernemer horeca,eigenar all werkzam inkop tm verkop personeelszak ed,cafetarialunchrom,5-00.90,zeker duidelijk
2731283,4511,am,1,1 ste medewerkster horeca,inkop leiding gevend tak,speelpark,5-32.10,zeker duidelijk
2280571,3718,am,3,1e machinist,operation onderhoud vloeibar aardgas installatie,gastransport,9-69.25,onzeker duidelijk beschrijv
2178200,3531,am,2,1e medewerker,aanstur coordiner onderhoudsmedewerker,gemeent ensched,3-00.10,zeker duidelijk
2786021,4620,am,6,1e medewerker bedrijfsvoer,leidinggev finadministratie,bank,3-39.40,zeker duidelijk
2547248,4179,am,3,1e medewerker financiel administratie,,ziekenhuis,3-39.40,zeker duidelijk
1802243,3078,am,3,1e medewerker leerlingenadministratie,leerlingenadminstratie,vo schol,3-93.10,zeker duidelijk
2335337,3817,am,2,1e medewerker meldpunt,aanstur storingsmonteur contract extern opdracht it management informatie dienst,rivm,0-84.20,zeker duidelijk
1857485,3186,am,4,1e monteur,allerhand onderhoud werkzam oa inductie oven,aluminium smelter,9-69.80,zeker duidelijk
2143138,3463,am,1,1ste verantwoord,leiding gev,zorginstell,2-11.10,zeker duidelijk
1788255,3072,am,2,a verpleegkund,verzorgingverpleegkund handel patient,ziekenhuis,0-71.10,zeker duidelijk
2528772,4148,am,2,a verpleegkund,verpleegkund tak,ziekenhuis,0-71.10,zeker duidelijk
2564483,4207,am,1,a verpleegkund,verpleg patient begeleid bevall,algemen ziekenhuis,0-71.10,zeker duidelijk
2816341,4671,am,1,aannemer,hoort,bouw,9-59.10,zeker duidelijk
3033363,4919,am,1,aannemer timmerman,bouwwerkzam,aannemer,9-59.10,zeker duidelijk
1682247,2873,am,2,acceptant brand verzeker,accepter industriel brandverzeker,verzekeringswez,3-93.50,zeker duidelijk
2412546,3957,am,1,acceptant verzeker,acceptatie,verzekeringsmaatschappij,3-93.50,zeker duidelijk
3012337,4876,am,1,account executiv,planning,logistic,3-92.30,zeker duidelijk
1487747,2554,am,1,account manager,sales,softwar,2-19.50,zeker duidelijk
1503118,2564,am,2,account manager,verkop advies informatica opleid,softwarehous,2-19.50,zeker duidelijk
1616402,2769,am,2,account manager,relatiebeher behoud uitbouw busines,ict,2-19.50,zeker duidelijk
1652800,2819,am,1,account manager,verkop loyaltyprogrammas,zakelijk dienstverlener,2-19.50,zeker duidelijk
1652800,2819,am,2,account manager,verkop it opleid,it opleider zakelijk dienstverlener,2-19.50,zeker duidelijk
1680874,2871,am,4,account manager,verkopenadviser,financiel dienstverlen,2-19.50,zeker duidelijk
1831311,3131,am,1,account manager,communicatie klant intern organisatie,telecom provider,2-19.50,zeker duidelijk
2042744,3302,am,1,account manager,verkop,groothandelfabrikant,2-19.50,zeker duidelijk
2203808,3571,am,1,account manager,sales,sales market,2-19.50,zeker duidelijk
2320504,3778,am,1,account manager,aanvrag btw restituties buitenland,financieel,2-19.50,zeker duidelijk
2347435,3844,am,1,account manager,verkop relatiemanagement,technisch consultancy productie,2-19.50,zeker duidelijk
2440770,4010,am,3,account manager,relatie beher onderhoud 100 tal mkb klant,it,2-19.50,zeker duidelijk
2607640,4282,am,3,account manager,beher contact productieprocess,producent ler kleding,2-19.50,zeker duidelijk
2703385,4459,am,1,account manager,administartief kantor planning logistiek,social werkvoorzien,2-19.50,zeker duidelijk
2731325,4512,am,4,account manager,client contact project manager,banking,2-19.50,zeker duidelijk
3038358,4933,am,2,account manager,sales,verf,2-19.50,zeker duidelijk
2162453,3497,am,1,account medewerker assurantiekantor,administratief binnendienst,assurantiekantor,3-39.40,zeker duidelijk
2341751,3827,am,1,accountant,all accountancy tak,divers,1-10.10,zeker duidelijk
2548755,4181,am,2,accountant,jaarrapport aangift ib opstell,accountantskantor,1-10.10,zeker duidelijk
2567753,4215,am,1,accountant,administratief,accountantskantor,1-10.10,zeker duidelijk
2574460,4229,am,1,accountant,samenstell jaarrekeningenprognoses fiscal aangift,accountantskantor,1-10.10,zeker duidelijk
2662832,4390,am,1,accountant,nan,nan,1-10.10,zeker duidelijk
2353624,3861,am,2,accountantbelastingadviseur,control administaratie advies,accountantskantor,1-10.10,zeker duidelijk
2764253,4572,am,1,accounthandler,accounthandl,assurantie tussenperson,1-10.10,zeker duidelijk
1711100,2912,am,4,accountmanager,verkop copier printer,verkoopmaatschappij copier printer,2-19.50,zeker duidelijk
2421515,3976,am,2,accountmanager,beleid schrijv overlegg onderhandel,verzekerar,2-19.50,zeker duidelijk
2583574,4247,am,1,accountmanager,adviser woningcorporaties,woningcorporatie,2-19.50,zeker duidelijk
2763748,4570,am,1,accountmanager,ales,handel,2-19.50,zeker duidelijk
3071027,4986,am,1,accountmanager,adviser bestuurder voorlicht initier project uitvoer project,over,2-19.50,zeker duidelijk
2546430,4177,am,1,accountmanager,allround advies agro ondernemer gezinn,accountancy,2-19.50,zeker duidelijk
1576040,2716,am,1,accountmanager ict,advies verkop ict oploss,ict,2-19.50,zeker duidelijk
2583574,4247,am,4,accountmaneger,adviser woningcorporaties,overkoepel woningcorporaties,2-19.50,zeker duidelijk
2473240,4074,am,1,act practitioner psychiatrisch verpleegkund,begeleid behandel jonger,ggz instell,0-71.20,zeker duidelijk
2817481,4675,am,1,activiteit begeleider,begeleid dement client dagverzorg,verzorgingscentrum,1-93.10,zeker duidelijk
1612433,2764,am,2,activiteitenbegeleider,arbeidstherapeut,psychiatrisch ziekenhuis,1-93.10,zeker duidelijk
1612433,2764,am,3,activiteitenbegeleider,activiteitenbegeleider,a ziekenhuis,1-93.10,zeker duidelijk
2128125,3440,am,1,activiteitenbegeleider,activiteit organiser gehandicapt,gehandicaptenzorg,1-93.90,zeker duidelijk
2243635,3644,am,2,activiteitenbegeleider,voorlicht handvaard gastvrouw,jeugd jongerenwerk,1-93.10,zeker duidelijk
3077154,5000,am,2,activiteitenbegeleider,activiteit organiser psychogeriatrie,verpleeghuis,1-93.10,zeker duidelijk
2102573,3402,am,1,activiteitenbegeleidster,activiteit bied jong volwass mann verstand beperk,gehandicaptenzorg,1-93.90,zeker duidelijk
2458073,4045,am,1,activiteitenbegeleidster,begeleid verstand gehandicapt,instell gehandicaptenzorg,1-93.90,zeker duidelijk
2647662,4371,am,1,activiteitenbegeleidster,begeleid ouder,woonzorgcenrum,1-93.10,zeker duidelijk
2754341,4548,am,1,activiteitenbegeleidster,begeled dagopvang,thuiszorg organisatie sensir,1-93.10,zeker duidelijk
2842411,4733,am,2,activiteitenbegeleidster,leerling,zorg dienstverlen,1-93.10,zeker duidelijk
3048017,4946,am,2,adjunct directeur,leiding bedrijf,beveil,1-39.40,zeker duidelijk
1502412,2563,am,1,adjunct directeur basisonderwijs,leidinggev tak,basisschol,1-39.40,zeker duidelijk
1872474,3208,am,1,adjunctalgemen directeur,leidinggev beleidsstuk schrijv vergaderingenoverleg,schoolbestur primair onderwijs,1-39.40,zeker duidelijk
2285702,3727,am,2,adjunctdirecteur,lesgev schoolorganisatie deelnem overlegstructur,basisschol,1-39.40,zeker duidelijk
1573801,2710,am,2,adl ass,verzorg,st focus,1-93.10,zeker duidelijk
2600466,4263,am,1,adl medewerker,algemen dagelijk levensbehoeft,geestelijk licham gehandicapt,1-93.90,zeker duidelijk
1665783,2848,am,2,adm medewerker,financieel adm werkzam,dienstverlen,3-39.40,zeker duidelijk
2441453,4013,am,3,adm medewerker,boekhoud,treu carpet,3-31.20,zeker duidelijk
2441453,4013,am,5,adm medewerker,boekhoud,dfm,3-31.20,zeker duidelijk
3030378,4912,am,4,adm medewerker,administratief werk,ing,3-93.10,zeker duidelijk
1558031,2679,am,3,adm medewerker gemeentehuis hoorn,adm overdekt zwembad gedan,gemeentehuis hoorn,3-93.10,zeker duidelijk
2017813,3267,am,2,adm medewerkster,administratie verkop,textiel groothandel,3-93.10,zeker duidelijk
2516014,4125,am,1,adm medewerkster,eindverantwoord administratie,dienstverlen binn grot concern,3-93.10,zeker duidelijk
2814870,4665,am,1,adm medw diver afdel,adm ondersteun div afdel,min defensie,3-93.10,zeker duidelijk
1835247,3139,am,2,adm mederwerkster,administratief,dsm chemisch bedrijf,3-93.10,zeker duidelijk
2480833,4089,am,2,adm medewerker,administratie,uitgeverij,3-93.10,zeker duidelijk
2480833,4089,am,3,adm medewerker,administratie,zorgverzekerar,3-93.10,zeker duidelijk
3015472,4879,am,2,adm medewerker,administratie,warenhuis,3-93.10,zeker duidelijk
2666504,4399,am,1,adm medewerkster,administratie,schol,3-93.10,zeker duidelijk
1783507,3062,am,1,adm medewerkster,invoer computersystem,instell mens beperk,3-42.20,zeker duidelijk
1783507,3062,am,4,adm medewerkster,invoer computer system,verkop vabn hijswerktu,3-42.20,zeker duidelijk
1854171,3176,am,1,adm medewerkster,administratie verkop,meubelfabriek,3-93.10,zeker duidelijk
2126148,3437,am,3,adm medewerkster,administratief,akzo,3-93.10,zeker duidelijk
2254642,3664,am,4,adm medewerkster,administratie archiver,ziekenhuis,3-93.10,zeker duidelijk
2471538,4069,am,1,adm medewerkster,uitreksel geb registerspaspoort rijbewijs uitgift aanvrag,gemeentehuis,3-93.10,zeker duidelijk
2565218,4210,am,4,adm medewerkster,administratief,hout ram deur fabriek,3-93.10,zeker duidelijk
2770111,4584,am,3,adm medewerkster,administratie,kantoormeubilair,3-93.10,zeker duidelijk
2836816,4719,am,1,adm medewerkster,financiel administratief,scouting nederland,3-39.40,zeker duidelijk
2836816,4719,am,2,adm medewerkster,administratief,verzeker,3-93.10,zeker duidelijk
2836816,4719,am,3,adm medewerkster,administratief,mkb,3-93.10,zeker duidelijk
2607213,4279,am,2,admsecrmedewerkster,allerlei secretariel werkzam baliewerkzam klein financiel werkzam,organiser beurzenvoorlichtingsbijeenkomst schol beroepenbedrijv,3-93.10,zeker duidelijk
1552403,2666,am,3,admkracht,uitwerk offertes telefoner,elektronisch bedrijf,3-93.10,zeker duidelijk
2053021,3318,am,2,admmedew,administratie,assurantiekantor,3-93.10,zeker duidelijk
