unique_id,isco88_cg_4,occupation_en,task_en,employer_en,product_en
AS10011_1,4111,offic staff,deliveri,yong xin xiang tea store,tea wholesal
AS10011_2,3439,clerk,employe manag,hengyi clean compani,clean
AS10011_3,3439,clerk,employe manag,xin clean compani,clean
AS10012_1,7233,apprentic,machin mainten,chaozhuo machin mainten,machin mainten
AS10012_2,7233,technician,machin mainten,fuji machin,machin mainten
AS10012_3,7233,machin mainten,machin mainten,congjia industri commerc,semiconductor
AS10012_4,9333,deliveryman,deliveri man,yada electron compani,sale electron compon
AS10012_5,3415,salesman,salesman,yada electron compani,sale electron compon
AS10012_6,3415,salesman,salesman,guotai electron,sale electron compon
AS10015_1,7132,mud water,pave marbl,natur marbl compani,provid marbl
AS10015_2,8262,worker,sweater manufactur,yinmei silk mill,garment manufactur
AS10015_3,3439,clerk,manag,luo group,computer machin
AS10016_1,4222,recept,progress manufactur jewel,aberdeen jewelri factori,sale jewel
AS10016_2,5220,sale,sale,xieruilinzhu treasuri compani,sale jewel
AS10016_3,4212,teller,counter servic,hensheng bank,retail bank
AS10016_4,4122,mortgag sale manag,handl mortgag loan,dbs bank,mortgag loan
AS10017_1,5141,apprentic,wash head,xihuan hairdress,hairdress
AS10017_2,8322,taxi driver,taxi driver,hong kong,taxi
AS10019_1,9133,dri clean cloth,dri clean,huang zhu ken laundri factori,sort cloth
AS10019_2,4131,warehous staff,warehous staff,huang zhu keng electron compon compani,radio compon
AS10019_3,4111,offic staff,handl document,huang zhu keng electron compani,comput medic equip compon
AS10020_1,9333,porter,porter,anx remov contractor,remov contractor
AS10020_2,9333,porter,porter,xinji remov contractor,remov contractor
AS10020_3,9333,porter,porter,senji remov contractor,remov contractor
AS10021_1,8286,make match box,make match box,match factori,make match
AS10021_2,7311,femal worker camera,make camera box,shijia electron factori,manufactur radio
AS10021_3,5141,pedicur,pedicur,nanjin hairdress,hairdress
AS10022_1,9322,pack worker,pack frozen meat,ng fung hong limit,food supplier
AS10022_2,4131,warehous staff,good manag,ng fung hong limit,food supplier
AS10022_3,4131,night warehous staff,good night,ng fung hong limit,food supplier
AS10024_1,2320,teacher,teach,lvgangkaipingshanghui middl school,middl school
AS10024_2,2320,teacher,teach administr work,malino godfath school,middl school
AS10024_3,2310,professor,teach administr research,hong kong chines univers,univers
AS10024_4,2310,professor,teach administr research,hong kong univers scienc technolog,univers
AS10025_1,3416,purchas agent,purchas,hong kong industri corpor,toy product
AS10025_2,8322,taxi driver,driver,hong kong area,taxi
AS10025_3,3340,driver teacher,driver train,hong kong area,driver train
AS10025_4,8322,driver,driver,scott paper,paper make
AS10025_5,8322,driver,driver,peng insur compani,insur compani
AS10025_6,1210,shopkeep,boss,easi beauti digit workshop,computer print servic
AS10026_1,3141,apprentic,lath polish,taigu shipyard,ship mainten
AS10026_2,8340,sailor,ship servic,fulai ship compani,ship servic
AS10026_3,3439,product depart manag,manufactur supervis,zhonghua gas compani,gas supplier
AS10026_4,3141,sailor,mainten,yuanyang ship compani,ship servic
AS10026_5,3141,mainten manag,supervis ship mainten,beichen ship compani,ship servic
AS10026_6,3141,mainten manag,supervis ship mainten,weilin ship compani,ship servic
AS10027_1,4111,administr offic,civil servic,yongshun ship servic compani,cargo ship
AS10027_2,4111,civil servic,clerk,lsaworkshop,cosmet compani
AS10027_3,4111,administr offic,clerk,huazhilianhang properti compani,real estat sale
AS10027_4,4111,administr,clerk,zhuoyu,cosmet compani
AS10029_1,5220,boss sun,sale deliv,dajiaozuishiduo,candi retail
AS10029_2,8322,driver,driver,privat driver,privat real estat
AS10030_1,2320,teacher,teach,saint boluo boy girl middl school,middl school
AS10031_1,9322,temporari worker,temporari worker,ox horn factori,cloth factori
AS10031_2,8269,sew machin apprentic,sew machin,deshihuo cloth factori,cloth factori
AS10031_3,8320,deliv,driver plus porter,youmadi street,spice wholesal
AS10031_4,8324,driver,driver,jianan concret compani,stone materi supplier
AS10032_1,7242,technician,equip mainten,hong kong telephon compani,communic telephon
AS10032_2,1210,boss,manag,mainland sichuan nightclub,entertain
AS10032_3,5169,secur guard,secur guard,kangy manag,build manag
AS10034_1,3416,mechandis,purchas,debao import export compani,pack design
AS10034_2,3416,mechandis,nan,intern greet,print design
AS10034_3,3416,mechandis,purchas,kappahl,nan
AS10035_1,7433,tailor,learn cloth manufactur,suit,sew apprentic
AS10035_2,7241,mainten worker,mainten instal applianc,hongguang electr equip applianc,mainten applianc instal applianc
AS10035_3,8323,driver,driver,jiuba,transport
AS10036_1,2144,technolog director,build design,hong kong telephon compani,telecommun
AS10036_2,1222,directorgener,manag,xiangyu knit compani,knit
AS10036_3,7311,mainten depart manag,manag,fuji photo ltd,photograph film
AS10036_4,5169,director properti manag,build manag,yuju properti manag,properti manag
AS10037_1,5122,kitchen,kitchen,chaozhou restaur,restaur
AS10037_2,110,firefight,check fire extinguish facil,british armi depart,inform collect station
AS10037_3,9153,build manag,repair manag,zhonglianghang,properti manag
AS10039_1,3141,mainten worker,mainten compon ship,hong kong unit dockyard,mainten ship
AS10040_1,8262,worker make sweater,make sweater,shangshui sweater compani,make sweater
AS10040_2,8262,worker make sweater,make sweater,yuanlang sweater compani,make sweater
AS10041_1,1224,manag,manag administr,guotai airlin,airlin
AS10041_2,1224,countri manag,manag administr,unit airlin,airlin
AS10042_1,3439,director offic,document handl,tax offic,tax handl govern
AS10044_1,9131,housekeep,housekeep,assist housekeep shenzhen,assist housekeep
AS10045_1,3241,clinic assist,physic treatment,sham shui po chines tradit medicin clinic,cure chines tradit medicin
AS10045_2,4111,offic staff,civil servic,changshawan cloth plant,manufactur cloth
AS10045_3,3416,merchandis,purchas,satco trade co,commerci cloth
AS10045_4,3416,merchandis,purchas,hermesotto trade co,cloth commerci busi
AS10046_1,5122,chef,cook,xinya restaur,cook
AS10046_2,5122,chef,cook,newworld restaur,cook
AS10046_3,5122,chef,cook,hong kong confer,exhibit cook
AS10046_4,5122,chef,cook,jihao restaur,cook
AS10047_1,2444,translat,translat,china peopl bank,bus compani
AS10047_2,4111,bus servic depart,bus,yihe airlin,airlin
AS10047_3,3415,south africa food commerci busi,south africa custom servic,hudong commerci compani,commcial busi food
AS10047_4,1229,manag,custom manag,tourism,tourism servic
AS10047_5,3415,custom servic depart,custom servic,buzhibu commerci compani,bu spin
AS10047_6,2444,translat,translat,zhouli movi ltd,film ltd
AS10047_7,3415,custom servic,custom servic,buzhibu commerci compani,bu spin commerci compani
AS10047_8,3412,insur staff,insur staff,guowei insur compani,insur compani
AS10049_1,4111,land offic,civil servic,hong kong govern,government document
AS10050_1,5163,prison guard,keep,hong kong jail,keeper
AS10050_2,7136,apprentic,learn construct tap worker,construct,build build tap worker
AS10050_3,7136,master,tap construct,selfbusi construct,tap construct
AS10050_4,5169,manag,manag safeguard,properti manag,properti manag
AS10051_1,1232,manag,human resourc manag,transport,manag
AS10051_2,2421,court prosecutor,prosecutor,icac,corrupt prosecutor
AS10051_3,2421,court prosecutor,claim handl,claim offic,claim handl
AS10052_1,8211,lath apprentic,learn oper lath,guangzhou auto transport compani,auto repair
AS10052_10,3433,account,calcul incom compani,chaiwan supermarket,retail
AS10052_2,3434,statistician,count number product,chemic bureau guanzhou,manag chemic plant affair
AS10052_3,3433,account,account properti villag,pengbian villag group,farm
AS10052_4,8211,lath worker,process compon,guangzhou decheng street factori,process materi
AS10052_5,3433,account,calcul cost,guangzhou jifang road factori,produc product glue
AS10052_6,3433,account,calcul incom,guangzhou decheng street wireless electr factori,produc applianc
AS10052_7,3433,account,calcul incom,guangzhou dri food compani,dri food salesman
AS10052_8,3433,account,calcul incom compani,guangzhou taikang rd board compani,sale wood decor materi
AS10052_9,3433,account,calcul incom compani,chaiwanhengfa print compani,print
AS10054_1,5220,salesman,salesman,wuyin liangpin,salesman
AS10054_2,3415,sale execut,salesman,sweden bank,salesman
AS10055_1,2221,villag doctor,inject wash wound,villag hospit,clinic
AS10055_2,8283,applianc worker,technician,electr applianc factori,make applianc
AS10055_3,5169,safeguard,safeguard,secur compani,safeguard
AS10056_1,8340,ship,ship,dashun dock compani,ship servic
AS10056_2,8340,ship,manag porter board,gangpu ship servic,ship servic
AS10056_3,3141,machin boat,polish ship compon,taigu shipyard compani,ship servic ship mainten
AS10056_4,4142,letter deliv,messeng,taih express,express
AS10057_1,6153,boss fish boat assembl,fish boat repair boat fish,selfemploy,fish boat repair fish
AS10057_2,1224,manag,manag,zhiwei restaur,food drink
AS10059_1,5132,lifeguard,lifeguard,government fire bureau,fire extinguish servic
AS10060_1,3415,truck deliv,market toward compani,weilun bag compani,make hand bag
AS10060_2,3415,salesman,market cloth produc product compani deliv,chenguang cloth factori,make cloth
AS10060_3,8322,driver,provid transport servic,taxi compani,provid taxi servic
AS10060_4,3412,salesman,sale insur,youbang insur compani,provic insur servic
AS10060_5,3412,salesman,provic insur servic,telecommun yingk insur compani,provic insur servic
AS10060_6,3412,salesman,distribut insur servic,new york insur,provic insur servic
AS10060_7,8322,driver,provid transport servic,taxi compani,provid transport servic
AS10061_1,7233,worker,fetch carri,hongkan dock compani,ship mainten
AS10061_2,9322,worker,fetch carri,jiashun machin factori,machin mainten
AS10061_3,7233,worker,fetch carri machin mainten,deji project compani,machin mainten
AS10062_1,6110,farm,farm,guangzhou farm,farm
AS10062_2,9133,cleaner,wash dish,beijiao qu restaur,restaur
AS10062_3,9132,cleaner,clean,chaiwanqu newspap,newspap
AS10062_4,9132,cleaner,clean,household,household build
AS10064_1,1227,manag,compani loan,hong kong bank,bank
