[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.85014	validation_0-mlogloss:6.07437	validation_1-merror:0.84856	validation_1-mlogloss:6.05537
[1]	validation_0-merror:0.79887	validation_0-mlogloss:5.83557	validation_1-merror:0.78764	validation_1-mlogloss:5.81060
[2]	validation_0-merror:0.77952	validation_0-mlogloss:5.64954	validation_1-merror:0.76327	validation_1-mlogloss:5.62427
[3]	validation_0-merror:0.75636	validation_0-mlogloss:5.49686	validation_1-merror:0.74935	validation_1-mlogloss:5.47553
[4]	validation_0-merror:0.74040	validation_0-mlogloss:5.35717	validation_1-merror:0.73107	validation_1-mlogloss:5.34021
[5]	validation_0-merror:0.72486	validation_0-mlogloss:5.23489	validation_1-merror:0.72324	validation_1-mlogloss:5.22062
[6]	validation_0-merror:0.70749	validation_0-mlogloss:5.12467	validation_1-merror:0.70409	validation_1-mlogloss:5.11633
[7]	validation_0-merror:0.69294	validation_0-mlogloss:5.02399	validation_1-merror:0.69365	validation_1-mlogloss:5.02086
[8]	validation_0-merror:0.67669	validation_0-mlogloss:4.93300	validation_1-merror:0.67015	validation_1-mlogloss:4.93538
[9]	validation_0-merror:0.66977	validation_0-mlogloss:4.84979	validation_1-merror:0.66406	validation_1-mlogloss:4.85701
[10]	validation_0-merror:0.65819	validation_0-mlogloss:4.77177	validation_1-merror:0.65883	validation_1-mlogloss:4.78375
[11]	validation_0-merror:0.64576	validation_0-mlogloss:4.69842	validation_1-merror:0.64926	validation_1-mlogloss:4.71507
[12]	validation_0-merror:0.63856	validation_0-mlogloss:4.62812	validation_1-merror:0.64056	validation_1-mlogloss:4.64833
[13]	validation_0-merror:0.63390	validation_0-mlogloss:4.56171	validation_1-merror:0.63098	validation_1-mlogloss:4.58746
[14]	validation_0-merror:0.63093	validation_0-mlogloss:4.49876	validation_1-merror:0.63011	validation_1-mlogloss:4.53059
[15]	validation_0-merror:0.62246	validation_0-mlogloss:4.43931	validation_1-merror:0.62402	validation_1-mlogloss:4.47758
[16]	validation_0-merror:0.61709	validation_0-mlogloss:4.38217	validation_1-merror:0.62141	validation_1-mlogloss:4.42443
[17]	validation_0-merror:0.61073	validation_0-mlogloss:4.32708	validation_1-merror:0.61706	validation_1-mlogloss:4.37472
[18]	validation_0-merror:0.60494	validation_0-mlogloss:4.27519	validation_1-merror:0.61358	validation_1-mlogloss:4.32861
[19]	validation_0-merror:0.59929	validation_0-mlogloss:4.22443	validation_1-merror:0.61445	validation_1-mlogloss:4.28199
[20]	validation_0-merror:0.59421	validation_0-mlogloss:4.17576	validation_1-merror:0.61097	validation_1-mlogloss:4.23936
[21]	validation_0-merror:0.58715	validation_0-mlogloss:4.12840	validation_1-merror:0.60400	validation_1-mlogloss:4.19721
[22]	validation_0-merror:0.58178	validation_0-mlogloss:4.08263	validation_1-merror:0.59791	validation_1-mlogloss:4.15614
[23]	validation_0-merror:0.57641	validation_0-mlogloss:4.03899	validation_1-merror:0.59530	validation_1-mlogloss:4.11800
[24]	validation_0-merror:0.57260	validation_0-mlogloss:3.99723	validation_1-merror:0.59443	validation_1-mlogloss:4.08073
[25]	validation_0-merror:0.56879	validation_0-mlogloss:3.95619	validation_1-merror:0.59182	validation_1-mlogloss:4.04487
[26]	validation_0-merror:0.56384	validation_0-mlogloss:3.91601	validation_1-merror:0.58660	validation_1-mlogloss:4.00981
[27]	validation_0-merror:0.55720	validation_0-mlogloss:3.87753	validation_1-merror:0.57876	validation_1-mlogloss:3.97714
[28]	validation_0-merror:0.55127	validation_0-mlogloss:3.84006	validation_1-merror:0.57789	validation_1-mlogloss:3.94541
[29]	validation_0-merror:0.54703	validation_0-mlogloss:3.80339	validation_1-merror:0.57702	validation_1-mlogloss:3.91403
[30]	validation_0-merror:0.53969	validation_0-mlogloss:3.76846	validation_1-merror:0.57441	validation_1-mlogloss:3.88474
[31]	validation_0-merror:0.53602	validation_0-mlogloss:3.73408	validation_1-merror:0.57180	validation_1-mlogloss:3.85602
[32]	validation_0-merror:0.53192	validation_0-mlogloss:3.70124	validation_1-merror:0.57180	validation_1-mlogloss:3.82855
[33]	validation_0-merror:0.52585	validation_0-mlogloss:3.66878	validation_1-merror:0.56832	validation_1-mlogloss:3.80167
[34]	validation_0-merror:0.52359	validation_0-mlogloss:3.63696	validation_1-merror:0.56745	validation_1-mlogloss:3.77610
[35]	validation_0-merror:0.51893	validation_0-mlogloss:3.60615	validation_1-merror:0.56397	validation_1-mlogloss:3.75069
[36]	validation_0-merror:0.51257	validation_0-mlogloss:3.57554	validation_1-merror:0.55701	validation_1-mlogloss:3.72503
[37]	validation_0-merror:0.50777	validation_0-mlogloss:3.54627	validation_1-merror:0.55527	validation_1-mlogloss:3.70108
[38]	validation_0-merror:0.50480	validation_0-mlogloss:3.51721	validation_1-merror:0.55527	validation_1-mlogloss:3.67692
[39]	validation_0-merror:0.49831	validation_0-mlogloss:3.48875	validation_1-merror:0.55091	validation_1-mlogloss:3.65351
[40]	validation_0-merror:0.49336	validation_0-mlogloss:3.46051	validation_1-merror:0.54917	validation_1-mlogloss:3.63063
[41]	validation_0-merror:0.48644	validation_0-mlogloss:3.43318	validation_1-merror:0.54395	validation_1-mlogloss:3.60804
[42]	validation_0-merror:0.48178	validation_0-mlogloss:3.40624	validation_1-merror:0.53960	validation_1-mlogloss:3.58612
[43]	validation_0-merror:0.47839	validation_0-mlogloss:3.37976	validation_1-merror:0.53438	validation_1-mlogloss:3.56432
[44]	validation_0-merror:0.47444	validation_0-mlogloss:3.35398	validation_1-merror:0.53438	validation_1-mlogloss:3.54360
[45]	validation_0-merror:0.47373	validation_0-mlogloss:3.32892	validation_1-merror:0.53264	validation_1-mlogloss:3.52399
[46]	validation_0-merror:0.47119	validation_0-mlogloss:3.30434	validation_1-merror:0.53090	validation_1-mlogloss:3.50332
[47]	validation_0-merror:0.46836	validation_0-mlogloss:3.28021	validation_1-merror:0.53003	validation_1-mlogloss:3.48340
[48]	validation_0-merror:0.46455	validation_0-mlogloss:3.25653	validation_1-merror:0.52654	validation_1-mlogloss:3.46409
[49]	validation_0-merror:0.46328	validation_0-mlogloss:3.23308	validation_1-merror:0.52742	validation_1-mlogloss:3.44480
[50]	validation_0-merror:0.46144	validation_0-mlogloss:3.21017	validation_1-merror:0.52829	validation_1-mlogloss:3.42625
[51]	validation_0-merror:0.45819	validation_0-mlogloss:3.18803	validation_1-merror:0.52567	validation_1-mlogloss:3.40844
[52]	validation_0-merror:0.45692	validation_0-mlogloss:3.16608	validation_1-merror:0.52742	validation_1-mlogloss:3.39153
[53]	validation_0-merror:0.45339	validation_0-mlogloss:3.14481	validation_1-merror:0.52306	validation_1-mlogloss:3.37438
[54]	validation_0-merror:0.45099	validation_0-mlogloss:3.12335	validation_1-merror:0.52045	validation_1-mlogloss:3.35707
[55]	validation_0-merror:0.44944	validation_0-mlogloss:3.10217	validation_1-merror:0.51871	validation_1-mlogloss:3.34058
[56]	validation_0-merror:0.44534	validation_0-mlogloss:3.08171	validation_1-merror:0.51697	validation_1-mlogloss:3.32491
[57]	validation_0-merror:0.44266	validation_0-mlogloss:3.06180	validation_1-merror:0.51697	validation_1-mlogloss:3.30929
[58]	validation_0-merror:0.43912	validation_0-mlogloss:3.04189	validation_1-merror:0.51349	validation_1-mlogloss:3.29383
[59]	validation_0-merror:0.43460	validation_0-mlogloss:3.02254	validation_1-merror:0.51349	validation_1-mlogloss:3.27829
[60]	validation_0-merror:0.43220	validation_0-mlogloss:3.00343	validation_1-merror:0.51349	validation_1-mlogloss:3.26367
[61]	validation_0-merror:0.43093	validation_0-mlogloss:2.98495	validation_1-merror:0.51262	validation_1-mlogloss:3.24953
[62]	validation_0-merror:0.42895	validation_0-mlogloss:2.96832	validation_1-merror:0.51262	validation_1-mlogloss:3.23778
[63]	validation_0-merror:0.42782	validation_0-mlogloss:2.95184	validation_1-merror:0.51088	validation_1-mlogloss:3.22591
[64]	validation_0-merror:0.42472	validation_0-mlogloss:2.93578	validation_1-merror:0.51001	validation_1-mlogloss:3.21458
[65]	validation_0-merror:0.42302	validation_0-mlogloss:2.91999	validation_1-merror:0.51001	validation_1-mlogloss:3.20397
[66]	validation_0-merror:0.42076	validation_0-mlogloss:2.90475	validation_1-merror:0.50914	validation_1-mlogloss:3.19244
[67]	validation_0-merror:0.41709	validation_0-mlogloss:2.88985	validation_1-merror:0.50827	validation_1-mlogloss:3.18171
[68]	validation_0-merror:0.41511	validation_0-mlogloss:2.87508	validation_1-merror:0.50653	validation_1-mlogloss:3.17131
[69]	validation_0-merror:0.41398	validation_0-mlogloss:2.86054	validation_1-merror:0.50653	validation_1-mlogloss:3.16093
[70]	validation_0-merror:0.41088	validation_0-mlogloss:2.84618	validation_1-merror:0.50218	validation_1-mlogloss:3.15082
[71]	validation_0-merror:0.41003	validation_0-mlogloss:2.83230	validation_1-merror:0.50479	validation_1-mlogloss:3.14127
[72]	validation_0-merror:0.40720	validation_0-mlogloss:2.81838	validation_1-merror:0.50305	validation_1-mlogloss:3.13121
[73]	validation_0-merror:0.40551	validation_0-mlogloss:2.80487	validation_1-merror:0.50305	validation_1-mlogloss:3.12120
[74]	validation_0-merror:0.40494	validation_0-mlogloss:2.79151	validation_1-merror:0.50044	validation_1-mlogloss:3.11226
[75]	validation_0-merror:0.40226	validation_0-mlogloss:2.77814	validation_1-merror:0.50044	validation_1-mlogloss:3.10319
[76]	validation_0-merror:0.39944	validation_0-mlogloss:2.76477	validation_1-merror:0.49608	validation_1-mlogloss:3.09385
[77]	validation_0-merror:0.39788	validation_0-mlogloss:2.75213	validation_1-merror:0.49434	validation_1-mlogloss:3.08506
[78]	validation_0-merror:0.39562	validation_0-mlogloss:2.73926	validation_1-merror:0.49434	validation_1-mlogloss:3.07635
[79]	validation_0-merror:0.39435	validation_0-mlogloss:2.72673	validation_1-merror:0.49434	validation_1-mlogloss:3.06766
[80]	validation_0-merror:0.39251	validation_0-mlogloss:2.71443	validation_1-merror:0.48912	validation_1-mlogloss:3.05967
[81]	validation_0-merror:0.39025	validation_0-mlogloss:2.70232	validation_1-merror:0.48999	validation_1-mlogloss:3.05146
[82]	validation_0-merror:0.38785	validation_0-mlogloss:2.69021	validation_1-merror:0.48825	validation_1-mlogloss:3.04304
[83]	validation_0-merror:0.38658	validation_0-mlogloss:2.67832	validation_1-merror:0.48825	validation_1-mlogloss:3.03542
[84]	validation_0-merror:0.38517	validation_0-mlogloss:2.66685	validation_1-merror:0.48651	validation_1-mlogloss:3.02791
[85]	validation_0-merror:0.38291	validation_0-mlogloss:2.65525	validation_1-merror:0.48651	validation_1-mlogloss:3.02068
[86]	validation_0-merror:0.38192	validation_0-mlogloss:2.64381	validation_1-merror:0.48390	validation_1-mlogloss:3.01305
[87]	validation_0-merror:0.37881	validation_0-mlogloss:2.63244	validation_1-merror:0.48216	validation_1-mlogloss:3.00552
[88]	validation_0-merror:0.37669	validation_0-mlogloss:2.62147	validation_1-merror:0.48216	validation_1-mlogloss:2.99828
