[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.64762	validation_0-mlogloss:5.21166	validation_1-merror:0.71191	validation_1-mlogloss:5.29934
[1]	validation_0-merror:0.58133	validation_0-mlogloss:4.87223	validation_1-merror:0.66001	validation_1-mlogloss:5.03108
[2]	validation_0-merror:0.52691	validation_0-mlogloss:4.60409	validation_1-merror:0.62642	validation_1-mlogloss:4.82637
[3]	validation_0-merror:0.49078	validation_0-mlogloss:4.38316	validation_1-merror:0.60283	validation_1-mlogloss:4.66265
[4]	validation_0-merror:0.46533	validation_0-mlogloss:4.18957	validation_1-merror:0.58313	validation_1-mlogloss:4.52056
[5]	validation_0-merror:0.43766	validation_0-mlogloss:4.01771	validation_1-merror:0.57619	validation_1-mlogloss:4.40126
[6]	validation_0-merror:0.41682	validation_0-mlogloss:3.86482	validation_1-merror:0.56925	validation_1-mlogloss:4.29494
[7]	validation_0-merror:0.39728	validation_0-mlogloss:3.72445	validation_1-merror:0.55926	validation_1-mlogloss:4.19861
[8]	validation_0-merror:0.37982	validation_0-mlogloss:3.59696	validation_1-merror:0.55037	validation_1-mlogloss:4.11271
[9]	validation_0-merror:0.36416	validation_0-mlogloss:3.47899	validation_1-merror:0.54788	validation_1-mlogloss:4.03311
[10]	validation_0-merror:0.35021	validation_0-mlogloss:3.36918	validation_1-merror:0.53927	validation_1-mlogloss:3.96205
[11]	validation_0-merror:0.33677	validation_0-mlogloss:3.26669	validation_1-merror:0.53289	validation_1-mlogloss:3.89570
[12]	validation_0-merror:0.32531	validation_0-mlogloss:3.17060	validation_1-merror:0.53122	validation_1-mlogloss:3.83326
[13]	validation_0-merror:0.31519	validation_0-mlogloss:3.08077	validation_1-merror:0.52540	validation_1-mlogloss:3.77434
[14]	validation_0-merror:0.30517	validation_0-mlogloss:2.99514	validation_1-merror:0.52234	validation_1-mlogloss:3.72036
[15]	validation_0-merror:0.29505	validation_0-mlogloss:2.91432	validation_1-merror:0.51790	validation_1-mlogloss:3.66867
[16]	validation_0-merror:0.28563	validation_0-mlogloss:2.83691	validation_1-merror:0.51457	validation_1-mlogloss:3.62070
[17]	validation_0-merror:0.27542	validation_0-mlogloss:2.76343	validation_1-merror:0.51096	validation_1-mlogloss:3.57562
[18]	validation_0-merror:0.26789	validation_0-mlogloss:2.69366	validation_1-merror:0.50902	validation_1-mlogloss:3.53307
[19]	validation_0-merror:0.25953	validation_0-mlogloss:2.62679	validation_1-merror:0.50652	validation_1-mlogloss:3.49165
[20]	validation_0-merror:0.25204	validation_0-mlogloss:2.56253	validation_1-merror:0.50486	validation_1-mlogloss:3.45240
[21]	validation_0-merror:0.24414	validation_0-mlogloss:2.50149	validation_1-merror:0.50458	validation_1-mlogloss:3.41558
[22]	validation_0-merror:0.23708	validation_0-mlogloss:2.44267	validation_1-merror:0.50208	validation_1-mlogloss:3.37944
[23]	validation_0-merror:0.23052	validation_0-mlogloss:2.38643	validation_1-merror:0.49903	validation_1-mlogloss:3.34509
[24]	validation_0-merror:0.22502	validation_0-mlogloss:2.33209	validation_1-merror:0.49736	validation_1-mlogloss:3.31241
[25]	validation_0-merror:0.21920	validation_0-mlogloss:2.27990	validation_1-merror:0.49514	validation_1-mlogloss:3.28086
[26]	validation_0-merror:0.21347	validation_0-mlogloss:2.22957	validation_1-merror:0.49292	validation_1-mlogloss:3.25086
[27]	validation_0-merror:0.20802	validation_0-mlogloss:2.18049	validation_1-merror:0.49237	validation_1-mlogloss:3.22189
[28]	validation_0-merror:0.20220	validation_0-mlogloss:2.13340	validation_1-merror:0.49015	validation_1-mlogloss:3.19409
[29]	validation_0-merror:0.19781	validation_0-mlogloss:2.08788	validation_1-merror:0.49015	validation_1-mlogloss:3.16662
[30]	validation_0-merror:0.19268	validation_0-mlogloss:2.04408	validation_1-merror:0.48904	validation_1-mlogloss:3.14048
[31]	validation_0-merror:0.18903	validation_0-mlogloss:2.00160	validation_1-merror:0.48682	validation_1-mlogloss:3.11536
