[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.67826	validation_0-mlogloss:5.20491	validation_1-merror:0.68634	validation_1-mlogloss:5.31227
[1]	validation_0-merror:0.64372	validation_0-mlogloss:4.28394	validation_1-merror:0.65680	validation_1-mlogloss:4.44862
[2]	validation_0-merror:0.61591	validation_0-mlogloss:3.86653	validation_1-merror:0.63271	validation_1-mlogloss:4.07565
[3]	validation_0-merror:0.58971	validation_0-mlogloss:3.54794	validation_1-merror:0.61117	validation_1-mlogloss:3.80293
[4]	validation_0-merror:0.56540	validation_0-mlogloss:3.29930	validation_1-merror:0.59267	validation_1-mlogloss:3.59613
[5]	validation_0-merror:0.54218	validation_0-mlogloss:3.09255	validation_1-merror:0.57469	validation_1-mlogloss:3.42535
[6]	validation_0-merror:0.51912	validation_0-mlogloss:2.91277	validation_1-merror:0.55684	validation_1-mlogloss:3.28048
[7]	validation_0-merror:0.49944	validation_0-mlogloss:2.74713	validation_1-merror:0.54324	validation_1-mlogloss:3.14887
[8]	validation_0-merror:0.48082	validation_0-mlogloss:2.60495	validation_1-merror:0.53072	validation_1-mlogloss:3.03890
[9]	validation_0-merror:0.46289	validation_0-mlogloss:2.47529	validation_1-merror:0.51765	validation_1-mlogloss:2.93893
[10]	validation_0-merror:0.44557	validation_0-mlogloss:2.35697	validation_1-merror:0.50654	validation_1-mlogloss:2.84958
[11]	validation_0-merror:0.43044	validation_0-mlogloss:2.24918	validation_1-merror:0.49598	validation_1-mlogloss:2.76894
[12]	validation_0-merror:0.41518	validation_0-mlogloss:2.14932	validation_1-merror:0.48634	validation_1-mlogloss:2.69597
[13]	validation_0-merror:0.40019	validation_0-mlogloss:2.05553	validation_1-merror:0.47745	validation_1-mlogloss:2.62814
[14]	validation_0-merror:0.38621	validation_0-mlogloss:1.97154	validation_1-merror:0.46921	validation_1-mlogloss:2.56873
[15]	validation_0-merror:0.37313	validation_0-mlogloss:1.89256	validation_1-merror:0.46163	validation_1-mlogloss:2.51406
[16]	validation_0-merror:0.36049	validation_0-mlogloss:1.81483	validation_1-merror:0.45466	validation_1-mlogloss:2.45835
[17]	validation_0-merror:0.34846	validation_0-mlogloss:1.74315	validation_1-merror:0.44751	validation_1-mlogloss:2.40866
[18]	validation_0-merror:0.33659	validation_0-mlogloss:1.67541	validation_1-merror:0.44244	validation_1-mlogloss:2.36271
[19]	validation_0-merror:0.32563	validation_0-mlogloss:1.61384	validation_1-merror:0.43682	validation_1-mlogloss:2.32105
[20]	validation_0-merror:0.31511	validation_0-mlogloss:1.55402	validation_1-merror:0.43113	validation_1-mlogloss:2.28031
[21]	validation_0-merror:0.30511	validation_0-mlogloss:1.49857	validation_1-merror:0.42534	validation_1-mlogloss:2.24366
[22]	validation_0-merror:0.29516	validation_0-mlogloss:1.44577	validation_1-merror:0.42093	validation_1-mlogloss:2.20899
[23]	validation_0-merror:0.28542	validation_0-mlogloss:1.39249	validation_1-merror:0.41685	validation_1-mlogloss:2.17215
[24]	validation_0-merror:0.27625	validation_0-mlogloss:1.34233	validation_1-merror:0.41198	validation_1-mlogloss:2.13808
[25]	validation_0-merror:0.26729	validation_0-mlogloss:1.29403	validation_1-merror:0.40711	validation_1-mlogloss:2.10558
[26]	validation_0-merror:0.25853	validation_0-mlogloss:1.24917	validation_1-merror:0.40315	validation_1-mlogloss:2.07607
[27]	validation_0-merror:0.24989	validation_0-mlogloss:1.20831	validation_1-merror:0.39956	validation_1-mlogloss:2.05004
[28]	validation_0-merror:0.24130	validation_0-mlogloss:1.16769	validation_1-merror:0.39576	validation_1-mlogloss:2.02378
[29]	validation_0-merror:0.23315	validation_0-mlogloss:1.12892	validation_1-merror:0.39200	validation_1-mlogloss:1.99925
[30]	validation_0-merror:0.22571	validation_0-mlogloss:1.09176	validation_1-merror:0.38808	validation_1-mlogloss:1.97590
[31]	validation_0-merror:0.21808	validation_0-mlogloss:1.05667	validation_1-merror:0.38504	validation_1-mlogloss:1.95368
[32]	validation_0-merror:0.21067	validation_0-mlogloss:1.02256	validation_1-merror:0.38177	validation_1-mlogloss:1.93275
[33]	validation_0-merror:0.20376	validation_0-mlogloss:0.99016	validation_1-merror:0.37913	validation_1-mlogloss:1.91214
[34]	validation_0-merror:0.19688	validation_0-mlogloss:0.95990	validation_1-merror:0.37625	validation_1-mlogloss:1.89382
[35]	validation_0-merror:0.19017	validation_0-mlogloss:0.93054	validation_1-merror:0.37311	validation_1-mlogloss:1.87617
[36]	validation_0-merror:0.18401	validation_0-mlogloss:0.90234	validation_1-merror:0.37066	validation_1-mlogloss:1.85892
[37]	validation_0-merror:0.17786	validation_0-mlogloss:0.87469	validation_1-merror:0.36857	validation_1-mlogloss:1.84189
[38]	validation_0-merror:0.17214	validation_0-mlogloss:0.84780	validation_1-merror:0.36563	validation_1-mlogloss:1.82477
[39]	validation_0-merror:0.16639	validation_0-mlogloss:0.82215	validation_1-merror:0.36363	validation_1-mlogloss:1.80901
[40]	validation_0-merror:0.16051	validation_0-mlogloss:0.79797	validation_1-merror:0.36125	validation_1-mlogloss:1.79488
[41]	validation_0-merror:0.15519	validation_0-mlogloss:0.77464	validation_1-merror:0.35896	validation_1-mlogloss:1.78064
[42]	validation_0-merror:0.14988	validation_0-mlogloss:0.75272	validation_1-merror:0.35667	validation_1-mlogloss:1.76758
[43]	validation_0-merror:0.14514	validation_0-mlogloss:0.73121	validation_1-merror:0.35468	validation_1-mlogloss:1.75525
[44]	validation_0-merror:0.13980	validation_0-mlogloss:0.71010	validation_1-merror:0.35278	validation_1-mlogloss:1.74196
[45]	validation_0-merror:0.13481	validation_0-mlogloss:0.68977	validation_1-merror:0.35102	validation_1-mlogloss:1.73011
[46]	validation_0-merror:0.12994	validation_0-mlogloss:0.66969	validation_1-merror:0.34906	validation_1-mlogloss:1.71731
[47]	validation_0-merror:0.12563	validation_0-mlogloss:0.65112	validation_1-merror:0.34755	validation_1-mlogloss:1.70658
[48]	validation_0-merror:0.12123	validation_0-mlogloss:0.63326	validation_1-merror:0.34598	validation_1-mlogloss:1.69624
[49]	validation_0-merror:0.11711	validation_0-mlogloss:0.61568	validation_1-merror:0.34428	validation_1-mlogloss:1.68573
[50]	validation_0-merror:0.11299	validation_0-mlogloss:0.59866	validation_1-merror:0.34294	validation_1-mlogloss:1.67563
[51]	validation_0-merror:0.10915	validation_0-mlogloss:0.58218	validation_1-merror:0.34098	validation_1-mlogloss:1.66573
[52]	validation_0-merror:0.10538	validation_0-mlogloss:0.56650	validation_1-merror:0.33931	validation_1-mlogloss:1.65641
[53]	validation_0-merror:0.10182	validation_0-mlogloss:0.55146	validation_1-merror:0.33765	validation_1-mlogloss:1.64789
[54]	validation_0-merror:0.09830	validation_0-mlogloss:0.53696	validation_1-merror:0.33641	validation_1-mlogloss:1.63947
[55]	validation_0-merror:0.09526	validation_0-mlogloss:0.52291	validation_1-merror:0.33533	validation_1-mlogloss:1.63143
[56]	validation_0-merror:0.09204	validation_0-mlogloss:0.50912	validation_1-merror:0.33379	validation_1-mlogloss:1.62319
[57]	validation_0-merror:0.08877	validation_0-mlogloss:0.49580	validation_1-merror:0.33203	validation_1-mlogloss:1.61502
[58]	validation_0-merror:0.08571	validation_0-mlogloss:0.48295	validation_1-merror:0.33088	validation_1-mlogloss:1.60703
[59]	validation_0-merror:0.08288	validation_0-mlogloss:0.47069	validation_1-merror:0.32954	validation_1-mlogloss:1.60009
[60]	validation_0-merror:0.08007	validation_0-mlogloss:0.45874	validation_1-merror:0.32814	validation_1-mlogloss:1.59276
[61]	validation_0-merror:0.07720	validation_0-mlogloss:0.44669	validation_1-merror:0.32716	validation_1-mlogloss:1.58492
[62]	validation_0-merror:0.07473	validation_0-mlogloss:0.43577	validation_1-merror:0.32601	validation_1-mlogloss:1.57878
[63]	validation_0-merror:0.07223	validation_0-mlogloss:0.42476	validation_1-merror:0.32474	validation_1-mlogloss:1.57215
[64]	validation_0-merror:0.06959	validation_0-mlogloss:0.41428	validation_1-merror:0.32415	validation_1-mlogloss:1.56587
[65]	validation_0-merror:0.06738	validation_0-mlogloss:0.40422	validation_1-merror:0.32287	validation_1-mlogloss:1.56010
[66]	validation_0-merror:0.06530	validation_0-mlogloss:0.39446	validation_1-merror:0.32235	validation_1-mlogloss:1.55436
[67]	validation_0-merror:0.06300	validation_0-mlogloss:0.38486	validation_1-merror:0.32137	validation_1-mlogloss:1.54853
[68]	validation_0-merror:0.06111	validation_0-mlogloss:0.37562	validation_1-merror:0.32065	validation_1-mlogloss:1.54328
[69]	validation_0-merror:0.05916	validation_0-mlogloss:0.36667	validation_1-merror:0.31993	validation_1-mlogloss:1.53780
[70]	validation_0-merror:0.05716	validation_0-mlogloss:0.35811	validation_1-merror:0.31911	validation_1-mlogloss:1.53251
[71]	validation_0-merror:0.05543	validation_0-mlogloss:0.35006	validation_1-merror:0.31797	validation_1-mlogloss:1.52767
[72]	validation_0-merror:0.05357	validation_0-mlogloss:0.34186	validation_1-merror:0.31722	validation_1-mlogloss:1.52225
[73]	validation_0-merror:0.05191	validation_0-mlogloss:0.33418	validation_1-merror:0.31657	validation_1-mlogloss:1.51774
[74]	validation_0-merror:0.05031	validation_0-mlogloss:0.32668	validation_1-merror:0.31585	validation_1-mlogloss:1.51296
[75]	validation_0-merror:0.04876	validation_0-mlogloss:0.31937	validation_1-merror:0.31493	validation_1-mlogloss:1.50848
[76]	validation_0-merror:0.04721	validation_0-mlogloss:0.31237	validation_1-merror:0.31424	validation_1-mlogloss:1.50435
[77]	validation_0-merror:0.04579	validation_0-mlogloss:0.30546	validation_1-merror:0.31330	validation_1-mlogloss:1.50049
[78]	validation_0-merror:0.04424	validation_0-mlogloss:0.29876	validation_1-merror:0.31277	validation_1-mlogloss:1.49620
[79]	validation_0-merror:0.04289	validation_0-mlogloss:0.29222	validation_1-merror:0.31160	validation_1-mlogloss:1.49234
[80]	validation_0-merror:0.04164	validation_0-mlogloss:0.28596	validation_1-merror:0.31104	validation_1-mlogloss:1.48837
[81]	validation_0-merror:0.04038	validation_0-mlogloss:0.27976	validation_1-merror:0.31016	validation_1-mlogloss:1.48433
[82]	validation_0-merror:0.03911	validation_0-mlogloss:0.27389	validation_1-merror:0.31003	validation_1-mlogloss:1.48085
[83]	validation_0-merror:0.03796	validation_0-mlogloss:0.26826	validation_1-merror:0.30924	validation_1-mlogloss:1.47746
[84]	validation_0-merror:0.03691	validation_0-mlogloss:0.26285	validation_1-merror:0.30908	validation_1-mlogloss:1.47407
[85]	validation_0-merror:0.03578	validation_0-mlogloss:0.25758	validation_1-merror:0.30872	validation_1-mlogloss:1.47093
[86]	validation_0-merror:0.03482	validation_0-mlogloss:0.25238	validation_1-merror:0.30777	validation_1-mlogloss:1.46804
[87]	validation_0-merror:0.03384	validation_0-mlogloss:0.24744	validation_1-merror:0.30689	validation_1-mlogloss:1.46489
[88]	validation_0-merror:0.03290	validation_0-mlogloss:0.24243	validation_1-merror:0.30633	validation_1-mlogloss:1.46146
[89]	validation_0-merror:0.03206	validation_0-mlogloss:0.23773	validation_1-merror:0.30624	validation_1-mlogloss:1.45869
[90]	validation_0-merror:0.03117	validation_0-mlogloss:0.23307	validation_1-merror:0.30539	validation_1-mlogloss:1.45550
[91]	validation_0-merror:0.03028	validation_0-mlogloss:0.22857	validation_1-merror:0.30483	validation_1-mlogloss:1.45261
[92]	validation_0-merror:0.02953	validation_0-mlogloss:0.22441	validation_1-merror:0.30441	validation_1-mlogloss:1.45010
[93]	validation_0-merror:0.02871	validation_0-mlogloss:0.22016	validation_1-merror:0.30346	validation_1-mlogloss:1.44725
[94]	validation_0-merror:0.02806	validation_0-mlogloss:0.21613	validation_1-merror:0.30326	validation_1-mlogloss:1.44469
[95]	validation_0-merror:0.02729	validation_0-mlogloss:0.21207	validation_1-merror:0.30274	validation_1-mlogloss:1.44246
[96]	validation_0-merror:0.02671	validation_0-mlogloss:0.20830	validation_1-merror:0.30225	validation_1-mlogloss:1.44031
[97]	validation_0-merror:0.02608	validation_0-mlogloss:0.20464	validation_1-merror:0.30189	validation_1-mlogloss:1.43805
[98]	validation_0-merror:0.02545	validation_0-mlogloss:0.20086	validation_1-merror:0.30160	validation_1-mlogloss:1.43526
[99]	validation_0-merror:0.02482	validation_0-mlogloss:0.19732	validation_1-merror:0.30114	validation_1-mlogloss:1.43304
[100]	validation_0-merror:0.02426	validation_0-mlogloss:0.19384	validation_1-merror:0.30055	validation_1-mlogloss:1.43088
[101]	validation_0-merror:0.02352	validation_0-mlogloss:0.19044	validation_1-merror:0.30025	validation_1-mlogloss:1.42876
[102]	validation_0-merror:0.02299	validation_0-mlogloss:0.18711	validation_1-merror:0.29957	validation_1-mlogloss:1.42673
[103]	validation_0-merror:0.02250	validation_0-mlogloss:0.18402	validation_1-merror:0.29934	validation_1-mlogloss:1.42499
[104]	validation_0-merror:0.02195	validation_0-mlogloss:0.18089	validation_1-merror:0.29957	validation_1-mlogloss:1.42291
[105]	validation_0-merror:0.02141	validation_0-mlogloss:0.17775	validation_1-merror:0.29908	validation_1-mlogloss:1.42096
[106]	validation_0-merror:0.02094	validation_0-mlogloss:0.17476	validation_1-merror:0.29865	validation_1-mlogloss:1.41925
[107]	validation_0-merror:0.02039	validation_0-mlogloss:0.17178	validation_1-merror:0.29842	validation_1-mlogloss:1.41726
[108]	validation_0-merror:0.01993	validation_0-mlogloss:0.16898	validation_1-merror:0.29790	validation_1-mlogloss:1.41547
[109]	validation_0-merror:0.01944	validation_0-mlogloss:0.16629	validation_1-merror:0.29725	validation_1-mlogloss:1.41374
[110]	validation_0-merror:0.01891	validation_0-mlogloss:0.16357	validation_1-merror:0.29676	validation_1-mlogloss:1.41207
[111]	validation_0-merror:0.01840	validation_0-mlogloss:0.16095	validation_1-merror:0.29633	validation_1-mlogloss:1.41049
[112]	validation_0-merror:0.01797	validation_0-mlogloss:0.15846	validation_1-merror:0.29588	validation_1-mlogloss:1.40879
[113]	validation_0-merror:0.01754	validation_0-mlogloss:0.15604	validation_1-merror:0.29532	validation_1-mlogloss:1.40723
[114]	validation_0-merror:0.01713	validation_0-mlogloss:0.15360	validation_1-merror:0.29542	validation_1-mlogloss:1.40582
[115]	validation_0-merror:0.01666	validation_0-mlogloss:0.15116	validation_1-merror:0.29529	validation_1-mlogloss:1.40432
[116]	validation_0-merror:0.01631	validation_0-mlogloss:0.14885	validation_1-merror:0.29467	validation_1-mlogloss:1.40270
[117]	validation_0-merror:0.01593	validation_0-mlogloss:0.14668	validation_1-merror:0.29460	validation_1-mlogloss:1.40130
[118]	validation_0-merror:0.01557	validation_0-mlogloss:0.14454	validation_1-merror:0.29444	validation_1-mlogloss:1.39992
[119]	validation_0-merror:0.01528	validation_0-mlogloss:0.14234	validation_1-merror:0.29414	validation_1-mlogloss:1.39838
[120]	validation_0-merror:0.01498	validation_0-mlogloss:0.14028	validation_1-merror:0.29414	validation_1-mlogloss:1.39704
[121]	validation_0-merror:0.01474	validation_0-mlogloss:0.13830	validation_1-merror:0.29369	validation_1-mlogloss:1.39575
[122]	validation_0-merror:0.01446	validation_0-mlogloss:0.13628	validation_1-merror:0.29329	validation_1-mlogloss:1.39462
[123]	validation_0-merror:0.01414	validation_0-mlogloss:0.13427	validation_1-merror:0.29313	validation_1-mlogloss:1.39321
[124]	validation_0-merror:0.01377	validation_0-mlogloss:0.13232	validation_1-merror:0.29313	validation_1-mlogloss:1.39192
[125]	validation_0-merror:0.01349	validation_0-mlogloss:0.13046	validation_1-merror:0.29254	validation_1-mlogloss:1.39054
[126]	validation_0-merror:0.01318	validation_0-mlogloss:0.12861	validation_1-merror:0.29215	validation_1-mlogloss:1.38929
[127]	validation_0-merror:0.01289	validation_0-mlogloss:0.12689	validation_1-merror:0.29205	validation_1-mlogloss:1.38790
[128]	validation_0-merror:0.01261	validation_0-mlogloss:0.12511	validation_1-merror:0.29140	validation_1-mlogloss:1.38657
[129]	validation_0-merror:0.01233	validation_0-mlogloss:0.12344	validation_1-merror:0.29123	validation_1-mlogloss:1.38547
[130]	validation_0-merror:0.01213	validation_0-mlogloss:0.12180	validation_1-merror:0.29097	validation_1-mlogloss:1.38428
[131]	validation_0-merror:0.01190	validation_0-mlogloss:0.12023	validation_1-merror:0.29087	validation_1-mlogloss:1.38326
[132]	validation_0-merror:0.01160	validation_0-mlogloss:0.11863	validation_1-merror:0.29025	validation_1-mlogloss:1.38218
[133]	validation_0-merror:0.01141	validation_0-mlogloss:0.11709	validation_1-merror:0.29009	validation_1-mlogloss:1.38109
[134]	validation_0-merror:0.01113	validation_0-mlogloss:0.11557	validation_1-merror:0.28993	validation_1-mlogloss:1.38006
[135]	validation_0-merror:0.01093	validation_0-mlogloss:0.11406	validation_1-merror:0.28970	validation_1-mlogloss:1.37900
[136]	validation_0-merror:0.01068	validation_0-mlogloss:0.11264	validation_1-merror:0.28914	validation_1-mlogloss:1.37797
[137]	validation_0-merror:0.01046	validation_0-mlogloss:0.11118	validation_1-merror:0.28888	validation_1-mlogloss:1.37695
[138]	validation_0-merror:0.01024	validation_0-mlogloss:0.10973	validation_1-merror:0.28881	validation_1-mlogloss:1.37590
[139]	validation_0-merror:0.01003	validation_0-mlogloss:0.10839	validation_1-merror:0.28865	validation_1-mlogloss:1.37500
[140]	validation_0-merror:0.00990	validation_0-mlogloss:0.10705	validation_1-merror:0.28836	validation_1-mlogloss:1.37416
[141]	validation_0-merror:0.00975	validation_0-mlogloss:0.10574	validation_1-merror:0.28806	validation_1-mlogloss:1.37325
[142]	validation_0-merror:0.00957	validation_0-mlogloss:0.10443	validation_1-merror:0.28774	validation_1-mlogloss:1.37224
[143]	validation_0-merror:0.00934	validation_0-mlogloss:0.10314	validation_1-merror:0.28757	validation_1-mlogloss:1.37115
