[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.72974	validation_0-mlogloss:5.42628	validation_1-merror:0.73524	validation_1-mlogloss:5.44086
[1]	validation_0-merror:0.65765	validation_0-mlogloss:5.08040	validation_1-merror:0.66529	validation_1-mlogloss:5.10577
[2]	validation_0-merror:0.60702	validation_0-mlogloss:4.82321	validation_1-merror:0.61846	validation_1-mlogloss:4.86063
[3]	validation_0-merror:0.57008	validation_0-mlogloss:4.61328	validation_1-merror:0.58450	validation_1-mlogloss:4.66485
[4]	validation_0-merror:0.54196	validation_0-mlogloss:4.43393	validation_1-merror:0.55867	validation_1-mlogloss:4.49815
[5]	validation_0-merror:0.51901	validation_0-mlogloss:4.27726	validation_1-merror:0.53913	validation_1-mlogloss:4.35377
[6]	validation_0-merror:0.49974	validation_0-mlogloss:4.13948	validation_1-merror:0.52280	validation_1-mlogloss:4.22792
[7]	validation_0-merror:0.48344	validation_0-mlogloss:4.01507	validation_1-merror:0.50967	validation_1-mlogloss:4.11517
[8]	validation_0-merror:0.46995	validation_0-mlogloss:3.90175	validation_1-merror:0.49900	validation_1-mlogloss:4.01287
[9]	validation_0-merror:0.45828	validation_0-mlogloss:3.79792	validation_1-merror:0.48895	validation_1-mlogloss:3.92010
[10]	validation_0-merror:0.44771	validation_0-mlogloss:3.70201	validation_1-merror:0.48105	validation_1-mlogloss:3.83479
[11]	validation_0-merror:0.43813	validation_0-mlogloss:3.61251	validation_1-merror:0.47345	validation_1-mlogloss:3.75598
[12]	validation_0-merror:0.42940	validation_0-mlogloss:3.52926	validation_1-merror:0.46721	validation_1-mlogloss:3.68244
[13]	validation_0-merror:0.42166	validation_0-mlogloss:3.45070	validation_1-merror:0.46205	validation_1-mlogloss:3.61363
[14]	validation_0-merror:0.41436	validation_0-mlogloss:3.37675	validation_1-merror:0.45672	validation_1-mlogloss:3.54925
[15]	validation_0-merror:0.40704	validation_0-mlogloss:3.30669	validation_1-merror:0.45154	validation_1-mlogloss:3.48866
[16]	validation_0-merror:0.40039	validation_0-mlogloss:3.24037	validation_1-merror:0.44756	validation_1-mlogloss:3.43172
[17]	validation_0-merror:0.39421	validation_0-mlogloss:3.17699	validation_1-merror:0.44303	validation_1-mlogloss:3.37724
[18]	validation_0-merror:0.38849	validation_0-mlogloss:3.11667	validation_1-merror:0.43925	validation_1-mlogloss:3.32607
[19]	validation_0-merror:0.38312	validation_0-mlogloss:3.05905	validation_1-merror:0.43612	validation_1-mlogloss:3.27738
[20]	validation_0-merror:0.37759	validation_0-mlogloss:3.00365	validation_1-merror:0.43330	validation_1-mlogloss:3.23089
[21]	validation_0-merror:0.37271	validation_0-mlogloss:2.95090	validation_1-merror:0.42987	validation_1-mlogloss:3.18643
[22]	validation_0-merror:0.36774	validation_0-mlogloss:2.90001	validation_1-merror:0.42698	validation_1-mlogloss:3.14382
[23]	validation_0-merror:0.36300	validation_0-mlogloss:2.85102	validation_1-merror:0.42399	validation_1-mlogloss:3.10303
[24]	validation_0-merror:0.35846	validation_0-mlogloss:2.80405	validation_1-merror:0.42160	validation_1-mlogloss:3.06419
[25]	validation_0-merror:0.35438	validation_0-mlogloss:2.75863	validation_1-merror:0.41893	validation_1-mlogloss:3.02673
[26]	validation_0-merror:0.35043	validation_0-mlogloss:2.71467	validation_1-merror:0.41657	validation_1-mlogloss:2.99061
[27]	validation_0-merror:0.34659	validation_0-mlogloss:2.67245	validation_1-merror:0.41424	validation_1-mlogloss:2.95607
[28]	validation_0-merror:0.34273	validation_0-mlogloss:2.63130	validation_1-merror:0.41222	validation_1-mlogloss:2.92242
[29]	validation_0-merror:0.33891	validation_0-mlogloss:2.59149	validation_1-merror:0.41054	validation_1-mlogloss:2.89026
[30]	validation_0-merror:0.33547	validation_0-mlogloss:2.55294	validation_1-merror:0.40813	validation_1-mlogloss:2.85904
[31]	validation_0-merror:0.33211	validation_0-mlogloss:2.51565	validation_1-merror:0.40608	validation_1-mlogloss:2.82896
[32]	validation_0-merror:0.32892	validation_0-mlogloss:2.47929	validation_1-merror:0.40422	validation_1-mlogloss:2.79975
[33]	validation_0-merror:0.32543	validation_0-mlogloss:2.44403	validation_1-merror:0.40271	validation_1-mlogloss:2.77151
[34]	validation_0-merror:0.32217	validation_0-mlogloss:2.40978	validation_1-merror:0.40059	validation_1-mlogloss:2.74433
[35]	validation_0-merror:0.31897	validation_0-mlogloss:2.37614	validation_1-merror:0.39971	validation_1-mlogloss:2.71764
[36]	validation_0-merror:0.31602	validation_0-mlogloss:2.34369	validation_1-merror:0.39764	validation_1-mlogloss:2.69186
[37]	validation_0-merror:0.31336	validation_0-mlogloss:2.31201	validation_1-merror:0.39626	validation_1-mlogloss:2.66696
[38]	validation_0-merror:0.31045	validation_0-mlogloss:2.28099	validation_1-merror:0.39467	validation_1-mlogloss:2.64272
[39]	validation_0-merror:0.30774	validation_0-mlogloss:2.25083	validation_1-merror:0.39349	validation_1-mlogloss:2.61907
[40]	validation_0-merror:0.30491	validation_0-mlogloss:2.22136	validation_1-merror:0.39180	validation_1-mlogloss:2.59608
[41]	validation_0-merror:0.30227	validation_0-mlogloss:2.19276	validation_1-merror:0.39038	validation_1-mlogloss:2.57399
[42]	validation_0-merror:0.29945	validation_0-mlogloss:2.16463	validation_1-merror:0.38883	validation_1-mlogloss:2.55213
[43]	validation_0-merror:0.29685	validation_0-mlogloss:2.13728	validation_1-merror:0.38806	validation_1-mlogloss:2.53093
[44]	validation_0-merror:0.29446	validation_0-mlogloss:2.11051	validation_1-merror:0.38660	validation_1-mlogloss:2.51034
[45]	validation_0-merror:0.29184	validation_0-mlogloss:2.08431	validation_1-merror:0.38590	validation_1-mlogloss:2.49029
[46]	validation_0-merror:0.28932	validation_0-mlogloss:2.05866	validation_1-merror:0.38447	validation_1-mlogloss:2.47070
[47]	validation_0-merror:0.28687	validation_0-mlogloss:2.03358	validation_1-merror:0.38303	validation_1-mlogloss:2.45169
[48]	validation_0-merror:0.28453	validation_0-mlogloss:2.00904	validation_1-merror:0.38201	validation_1-mlogloss:2.43308
[49]	validation_0-merror:0.28206	validation_0-mlogloss:1.98506	validation_1-merror:0.38096	validation_1-mlogloss:2.41496
[50]	validation_0-merror:0.27987	validation_0-mlogloss:1.96158	validation_1-merror:0.37993	validation_1-mlogloss:2.39736
[51]	validation_0-merror:0.27764	validation_0-mlogloss:1.93840	validation_1-merror:0.37888	validation_1-mlogloss:2.38001
[52]	validation_0-merror:0.27538	validation_0-mlogloss:1.91586	validation_1-merror:0.37781	validation_1-mlogloss:2.36307
[53]	validation_0-merror:0.27305	validation_0-mlogloss:1.89364	validation_1-merror:0.37682	validation_1-mlogloss:2.34656
[54]	validation_0-merror:0.27093	validation_0-mlogloss:1.87193	validation_1-merror:0.37571	validation_1-mlogloss:2.33049
[55]	validation_0-merror:0.26881	validation_0-mlogloss:1.85072	validation_1-merror:0.37497	validation_1-mlogloss:2.31476
[56]	validation_0-merror:0.26685	validation_0-mlogloss:1.82995	validation_1-merror:0.37431	validation_1-mlogloss:2.29937
[57]	validation_0-merror:0.26471	validation_0-mlogloss:1.80944	validation_1-merror:0.37339	validation_1-mlogloss:2.28425
[58]	validation_0-merror:0.26255	validation_0-mlogloss:1.78932	validation_1-merror:0.37236	validation_1-mlogloss:2.26955
[59]	validation_0-merror:0.26048	validation_0-mlogloss:1.76947	validation_1-merror:0.37188	validation_1-mlogloss:2.25511
[60]	validation_0-merror:0.25846	validation_0-mlogloss:1.75010	validation_1-merror:0.37112	validation_1-mlogloss:2.24096
[61]	validation_0-merror:0.25658	validation_0-mlogloss:1.73103	validation_1-merror:0.37022	validation_1-mlogloss:2.22716
[62]	validation_0-merror:0.25452	validation_0-mlogloss:1.71234	validation_1-merror:0.36948	validation_1-mlogloss:2.21369
[63]	validation_0-merror:0.25243	validation_0-mlogloss:1.69396	validation_1-merror:0.36852	validation_1-mlogloss:2.20047
[64]	validation_0-merror:0.25046	validation_0-mlogloss:1.67587	validation_1-merror:0.36808	validation_1-mlogloss:2.18744
[65]	validation_0-merror:0.24862	validation_0-mlogloss:1.65800	validation_1-merror:0.36718	validation_1-mlogloss:2.17469
[66]	validation_0-merror:0.24663	validation_0-mlogloss:1.64061	validation_1-merror:0.36648	validation_1-mlogloss:2.16224
[67]	validation_0-merror:0.24489	validation_0-mlogloss:1.62340	validation_1-merror:0.36559	validation_1-mlogloss:2.15001
[68]	validation_0-merror:0.24307	validation_0-mlogloss:1.60646	validation_1-merror:0.36508	validation_1-mlogloss:2.13808
[69]	validation_0-merror:0.24111	validation_0-mlogloss:1.58982	validation_1-merror:0.36430	validation_1-mlogloss:2.12630
[70]	validation_0-merror:0.23947	validation_0-mlogloss:1.57354	validation_1-merror:0.36386	validation_1-mlogloss:2.11492
[71]	validation_0-merror:0.23785	validation_0-mlogloss:1.55743	validation_1-merror:0.36331	validation_1-mlogloss:2.10361
[72]	validation_0-merror:0.23590	validation_0-mlogloss:1.54155	validation_1-merror:0.36239	validation_1-mlogloss:2.09248
[73]	validation_0-merror:0.23401	validation_0-mlogloss:1.52601	validation_1-merror:0.36219	validation_1-mlogloss:2.08169
[74]	validation_0-merror:0.23223	validation_0-mlogloss:1.51077	validation_1-merror:0.36147	validation_1-mlogloss:2.07111
[75]	validation_0-merror:0.23049	validation_0-mlogloss:1.49568	validation_1-merror:0.36077	validation_1-mlogloss:2.06070
[76]	validation_0-merror:0.22879	validation_0-mlogloss:1.48086	validation_1-merror:0.36027	validation_1-mlogloss:2.05044
